prompt,prompt_len,target
"NEC Builds Itanium 2 Blade (NewsFactor) NewsFactor - NEC (Nasdaq: NIPNY) has unveiled a blade server powered by the Intel Itanium 2 processor, combining 64-bit computing, InfiniBand capabilities and increased memory, and targeted at the high-performance computing market.",64,0
"GM to cut 430 British jobs, union says A union said that General Motors Corp. plans to cut about 430 jobs at its British Vauxhall operation as part of sweeping cutbacks around Europe.",44,1
"United Asks Court to OK Analysis UAL Corp., the parent company of United Airlines, said Friday that it asked the bankruptcy court to approve Bridge Associates to conduct an independent analysis of the troubled carrier #39;s business plan.",48,1
Juniper poaches Cisco execs Juniper Networks lands two top Cisco Systems executives to lead a newly developed channel program.,24,0
Mugabe moves against party rivals Deep splits emerge in Zimbabwe's ruling party amidst jockeying for position to succeed President Mugabe.,26,0
Black awaits Breeden verdict Fresh allegations against former Daily Telegraph tycoon Conrad Black are expected to emerge from the courtroom filing of a long-awaited investigation into his stewardship of the newspaper empire Hollinger International.,40,1
"Spain Plays Down Canary I. Locust Threat (AP) AP - An estimated 100 million locusts swarmed one of the Canary Islands Tuesday, but the crop-ravaging insects  #151; many with only a week to live  #151; posed little threat, arriving with missing wings and broken legs after their 60-mile flight from the African mainland.",82,0
First Suit Filed Against Internet  #39;Spyware #39; The US government has sued a New Hampshire man in its first attempt to crack down on Internet  quot;spyware quot; that seizes control of a user #39;s computer without permission.,58,0
"UPDATE 4-Krispy Kreme profit plunges, stock hammered Krispy Kreme Doughnuts Inc.(KKD.N: Quote, Profile, Research) on Thursday reported a sharp drop in quarterly profit and signaled that business may not recover any ",52,1
"SonicWall releases stand-alone content filtering device SonicWall Inc. is introducing a stand-alone content filtering appliance for businesses with between 50 and 1,000 users.",39,0
"Profits increase as Bayer revamps German drugs and chemicals giant Bayer reports second quarter profits at the top end of market expectations, as it continues to revamp its business.",34,1
"Around Asia #39;s Markets: Watching Southeast Asia take the lead Southeast Asia #39;s stock markets were among the world #39;s best performers as the fourth quarter began. Christopher Wood, the top Asia strategist in Institutional Investor #39;s fund-manager survey last year, is betting the gains are just starting.",72,1
Oil giant Yukos in plea for time Russian oil giant Yukos is to ask a Moscow court for more time to pay its tax bill.,29,1
"US to fight economic imbalances, but responsibility is shared: Snow (AFP) AFP - US Treasury Secretary John Snow acknowledged that big US deficits are playing a role in global economic imbalances, but cited a  quot;shared responsibility quot; to fix the problems.",52,1
"FCC OKs Cingular Bid for AT T Wireless  WASHINGTON (Reuters) - The U.S. Federal Communications  Commission said on Tuesday it has conditionally approved  Cingular Wireless' \$41 billion cash acquisition of AT T  Wireless Services Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=AWE.N target=/stocks/quickinfo/fullquote""&gt;AWE.N&lt;/A&gt;, clearing the last big hurdle  for the deal.",113,1
Oil Holds Above \$46 Supply Worries Linger  LONDON (Reuters) - Oil prices held firm on Tuesday as China  showed no let-up in its strong import growth and U.S. Gulf  producers reported damage to offshore rigs from Hurricane Ivan.,54,1
"Kings Beat Rockets in Tense Beijing Finish The Sacramento Kings beat the Houston Rockets in a nail-biter pre-season game in Beijing on Sunday, 91-89, on a baseline jumpshot by reserve guard Bobby Jackson in the final seconds.",51,0
"Boat people killed in capsize tragedy AT LEAST 22 people were killed and dozens more missing after a boat carrying would-be immigrants to Italy capsized in the Mediterranean, reports said today.",40,0
"Alcoa Third-Quarter Profit Rises Aluminum producer Alcoa Inc. said Thursday that third-quarter profit rose 1.1 percent in the third quarter compared with a year ago, but fell significantly compared with the previous three months.",47,1
"Microsoft unveils digital music service LOS ANGELES (CBS.MW) - Microsoft launched a preview version of its new service for downloading digital music late Wednesday, placing it squarely in competition with Apple #39;s rival iTunes music service.",47,1
Karzai vows to bring Afghan peace Cheney and Rumsfeld are two of the most hawkish members of President George W. Bush #39;s cabinet and key architects of the. Washington-backed war that overthrew the Taliban in the wake of the ,54,0
"Utilities Uneven in  Managing  Vegetation Utilities running the nation's high-voltage electric lines have done extensive tree trimming that should cut chances of blackouts, according to a federal report released Wednesday.",41,1
Beirut Protests Over U.S. Plan to Freeze Assets  BEIRUT (Reuters) - Lebanon protested to the United States  on Saturday over a proposal to freeze the assets of senior  officials to put pressure on Syria to withdraw its troops from  Lebanon and crack down on terrorism.,61,0
"Apple iMac G5: a first look The half-dome base is gone, and the iMac G5 is iPod-white in colour. Get more of our first impressions of Apple #39;s redesigned iMac.",45,0
"IMF Approves \$436 Million Loan for Iraq The International Monetary Fund approved a \$436 million loan to Iraq on Wednesday, a milestone in the nation #39;s effort to normalize its finances and rebuild its economy.",49,1
"Fund newsletter parts Fool and his money In the late 1990s, Tom and David Gardner -- the brothers behind The Motley Fool online investment community -- regularly ridiculed mutual funds and the people who bought them.",44,1
Israelis wound schoolgirl in Gaza Israeli troops shoot a Palestinian schoolgirl in Gaza as controversy rages over another girl's death last week.,30,0
"Asian Stocks Gain as Bush Leads Count; AU Optronics, CNOOC Rise Asian stocks rose after President George W. Bush led John Kerry in vote counting in the US presidential election. Exporters such as Samsung Electronics Co.",46,1
Chavez Allies Name Supreme Court Justices President Hugo Chavez's allies in Congress appointed 17 new justices to the supreme court Monday as opposition parties accused the leader of stacking the nation's highest court with government-friendly magistrates.,47,0
"Consumers help GDP edge up just 0.1 Slumping corporate spending and exports caused the economy to slow to a crawl in the July-September period, with real gross domestic product expanding just 0.1 percent from the previous quarter, Cabinet Office data showed Friday.",56,1
"Abbas calls for end to violence Mahmoud Abbas, the favourite to succeed Yasser Arafat as Palestinian leader, has called on his people to stop fighting Israel. Mr Abbas said Palestinians had a legitimate right  quot;to express their rejection of the occupation by popular and social means quot;.",57,0
"Grand Jury Probes AIG, S P Cuts Marsh  NEW YORK (Reuters) - The storm over the U.S. insurance  industry took a new turn Thursday when American International  Group Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=AIG.N target=/stocks/quickinfo/fullquote""&gt;AIG.N&lt;/A&gt; said a federal grand jury is investigating  products it sold that companies might have used to massage  earnings.",113,1
General Electric Posts Higher 3rd-Quarter Profit The results matched the consensus estimate of 38 cents per share with health care and transportation among the businesses with a jump in orders.,38,1
"Gates: PC will replace TV, TV will become a giant Google Chairman Bill hopes we'll keep pushing his buttons",24,0
Coke is it: BHP coal to double BHP Billiton plans an aggressive \$US1.5-2 billion (\$2.1-2.8 billion) near-doubling of its coking coal production over the next five years to meet the China-inspired surge in demand for carbon steel-making materials through mine expansions and developments ,70,1
"German Official Criticizes US Deficit A German finance official urged the United States to tackle its twin deficits during President George W. Bush #39;s second term to counter concerns weighing on financial markets, a magazine reported Saturday.",47,1
