prompt,prompt_len,target
"If a cat has a body temp that is below average, it is in (A) good health (B) a good place (C) danger (D) safe ranges",36,C
Which of the following changes shape of an object? (A) spinning liquid mercury (B) blowing on gases (C) ripping paper (D) cutting water,33,C
Living things which require warmth likely also require (A) beads (B) tea (C) presents (D) kidneys,25,D
If I yell out to a co worker which occupation would have a scenario where it is impossible to respond for scientific reasons? (A) astronaut (B) lumberjack (C) fisherman (D) miner,42,A
Which would be a good example of conservation? (A) smoke stacks (B) littering (C) shorter showers (D) car travel,30,C
"After several months, a cardboard box left outside is all misshapen and has holes in it (A) the elements broke it down (B) radiation completely destroyed it (C) an elf messed with the box (D) bees ate holes in it",52,A
Moving your face further from a mirror (A) will make your face appear bigger (B) will make your face appear in macro (C) will make your wrinkles less obvious (D) will make it easier to see your pores,47,C
Which likely would win in a race? (A) a slug (B) a sardine (C) an Olympic swimmer (D) an orca,32,D
"If a tree is growing in an area that is most ideal to it, the dirt will be (A) firm (B) loose (C) packed tight (D) airless",38,B
Which relationship is accurate? (A) rabbits always eat producers (B) plants eat rabbits which eat plants (C) rabbits eat plants which eat plants (D) plants eat plants which eat plants,40,A
Toasting bread makes it (A) smaller (B) longer (C) wider (D) harder,22,D
if one electrical conductor contacts another electrical conductor then what will flow through both conductors? (A) plants (B) air (C) wind (D) zapping power,35,D
A faucet drips (A) lava (B) air (C) sand (D) melted ice,21,D
"Animals you see on the way to work or school, every animal on Earth does what? (A) squacks (B) cries (C) swims (D) intakes air",37,D
What is present during the day but not at night? (A) the moon (B) sunlight (C) clouds (D) planets,29,B
Near which location would an anteater most likely live? (A) swamp (B) anthill (C) river (D) bee hive,30,B
Lamps that convert electricity into light and heat are known as (A) incadescent (B) flourescent (C) led (D) candle,33,A
Which pollutant is most likely caused by humans activity? (A) bricks (B) bovine farts (C) rocks (D) oxygen,29,B
Flashlights (A) illuminate ideas and thoughts (B) illuminate answers to questions (C) illuminate pathways in an overgrown forest (D) illuminate bright sunny days,33,C
Phloem (A) acts as a delivery person for a plant (B) acts as a trainer for a plant (C) acts as a doctor for a plant (D) acts as a farmer for a plant,44,A
"If you fly from Europe to Australia in December, when you arrive you will most likely want to wear: (A) heavy coat (B) mittens (C) shorts (D) ski mask",40,C
A desert environment is (A) frigid (B) parched (C) rainy (D) tropical,22,B
When would a puddle get smaller and disappear the fastest? (A) on a snowy day (B) on a day without clouds (C) on a cloudy day (D) on a dark day,41,B
There are very few species of plants and animals in places like the North Pole because the temperatures are always very (A) muggy (B) low (C) high (D) boring,39,B
What product eventually will become human waste? (A) stars (B) unicorns (C) black holes (D) corn,26,D
Humming birds help with the growth of (A) raspberries (B) cars (C) buildings (D) wind,25,A
What requires nutrients for survival? (A) buildings (B) rocks (C) badgers (D) clouds,24,C
"A person is looking at an organism naked to the human eye. Desiring to observe it more clearly, a person engages the use of (A) binoculars (B) a telescope (C) a meter stick (D) lab equipment",48,D
Cows only eat what? (A) flora (B) animals (C) water (D) bugs,23,A
Transpiration occurs in (A) the fruit of a pear tree (B) the seeds of a tree (C) the flat appendages on organisms that give off oxygen (D) the lungs of a dog,42,C
"Imagine a huge rabies epidemic, where all the cats in the world died, which species would over run the earth? (A) Rodents (B) Pachyderms (C) Butterflys (D) Homo sapiens",46,A
which one of these activities can lead to animal gathering seeds (A) Bees making nectar (B) bees making honey. (C) bees stinging human (D) Bees collecting nectar,37,D
MRIs can make (A) fillings dance (B) great yogurt (C) programs for assembly (D) a mess,26,A
When taking a pickax to rocks (A) pick a location where lots of people will be (B) sweep up after yourself to keep the workplace safe (C) eschew wearing any safety gear (D) clean up is an unnecessary chore,50,B
"for warmth, we depend on the closest star to our planet, which is also (A) the red planet mars (B) the moon of the earth (C) the Orion star cluster (D) a major player in photosynthesis",47,D
what do planets orbit? (A) volcanos (B) starlight (C) astral beings (D) people,24,C
You'll know that the sun has set if (A) a baby is sleeping (B) all the birds are silent (C) the temperature has gone down (D) the brightest thing in the sky is a satellite,46,D
Why does a turkey thermometer plunger cap come off? (A) cold uranium ore (B) expanding air (C) expanding lead (D) contracting gas,32,B
To warm yourself up on a chilly day (A) rub your palms together (B) wear short sleeve shirts (C) go without any socks (D) stand still in one place,38,A
"Because of the stem of plants, they are able to do what in the soil (A) fly (B) balance upright (C) cry (D) sing",34,B
A particular bird has very bright multi-colored feathers. This could help them (A) find the mother of its future children (B) attract a plane to rescue them (C) find a good source of food (D) become famous in movies,51,A
To destroy embarrassing evidence you can (A) clobber it with a whale (B) post it on a social network (C) discard it in a rubbish bin (D) flick it into lava,41,D
The way that electrical conductors works in ways such as (A) sticking a plug into an outlet to power a microwave (B) turning on a coffee pot in the morning (C) making sure that a hair dryer is unplugged after use (D) turning on lights in a room,57,A
To positively impact the environment (A) toss plastic bottles in trash receptacles (B) use plastic knives and forks for every meal (C) scrap metal from old buildings is processed to be used for new construction (D) buy a less fuel efficient car,51,C
"Within a twenty four hour period, a person could experience (A) a globe's complete rotation (B) thirty hours of night (C) a day on Pluto (D) a year of schooling",42,A
"A person wants a room that is artificially brightened to go back to darkness, so they (A) pull a cart (B) dump a can (C) flick a window (D) adjust a switch",42,D
Something that may effect a child negatively could be (A) unicorns (B) magic (C) time travel (D) punching,27,D
Earth rotating causes (A) the cycling of AM and PM (B) the creation of volcanic eruptions (C) the cycling of the tides (D) the creation of gravity,36,A
Venus fly traps are poor at creating their own food though photosynthesis because (A) they are unhealthy (B) they need water (C) they require insects (D) they grow slowly,38,C
A smack on a wooden board can be heard a mile away (A) because sound travels through oxygen (B) because of how sound works (C) because vibration can move (D) because sound vibrates through atmosphere,45,D
which of these does a spinning motion? (A) planet venus (B) the earth (C) planet mars (D) all of these,30,D
a solar panel converts astral radiation into electricity which charges a  rechargeable battery that can go into an (A) cupcake (B) rock (C) illuminated police baton (D) stick,39,C
A producer makes its own: (A) sustenance (B) air (C) shelter (D) body,23,A
"If a plant is going to photosynthesize, it can have all aside from (A) water (B) sunlight (C) cake (D) soil",34,C
Light in the evening will do what as fall approaches (A) glow longer (B) end sooner (C) last longer (D) stay later,31,B
It's easiest to boil twisty noodles on a (A) rubber tire (B) copper burner (C) wooden crate (D) plastic legos,33,B
we only have diamonds because of the existence of (A) machines (B) large pressure (C) work force (D) carbonite,29,B
A scale can measure (A) javascript (B) intentions (C) guitar picks (D) thoughts,22,C
