prompt,prompt_len,target
"Note that since the discount is equal to the savings experienced at the margin as additional pieces become workshared, the base (1996) position becomes the efficient component pricing (ECP) position. | The discount is equal to the savings experienced at the margin as additional pieces become workshared.",61,1
"The Museum of Cetemporary Art, known as MOCA (250 S. Grand Ave. ), is one of Los Angeles's most exciting museums, presenting major contemporary shows and a rotating permanent collection by such artists as Piet Mondrian, Mark Rothko, and Franz Kline. | The museum currently has free admission but that is set to change.",72,0
The Department prepared an Initial Regulatory Flexibility Analysis in connection with the interim rule. | The interim rule was a component of the flexibility analysis.,28,1
"Thousands of writers bring suit each year claiming their copyright has been violated, but almost none win satisfaction in court. | Of the thousands of writers that sue each year, only a few are disappointed by the court",42,0
"Although there are no grass courts on the islands, a number of asphalt or composition courts are available at hotels and apartment complexes. | The only type of court available at the hotels is grass.",39,0
they're like between a rock and a hard spot | They are in just the correct spot to be dandy.,24,0
do you work for a large corporation corporation | Do you work for a large International company?,19,0
The new conquerors of northern India did not come uninvited. | Northern India's new conquerors came invited.,23,1
"An initial Notice of Proposed Rulemaking was published in the Federal Register on October 10, 1995 (60 Fed. | The proposal has since been amended. ",39,0
yeah i i've  i've seen uh they're they make some plastic edging stuff that comes in like three foot lengths and you can uh you can tape them together and and and put | The three foot plastic edgings are very convenient.,52,0
It burrows from inside the city to a spring outside the walls; you can descend the steps and climb right into it. | You should be able to comfortably descend the steps.,36,0
you know they match it um my wife used to they matched hers only hers was a little bit better than ours um she hasn't been working for a couple of years her father took sick so she's been taking care of him | Ours was a lot more better than my wife's.,61,0
"In cases where LSC counsel were attorneys of record, there would be lingering doubt whether the truncated representation had resulted in complete analysis of the case, full advice to the client, and proper presentation to the court. | LSC counsel were never the attorneys of record. ",55,0
Officials of the audited organization are responsible for resolving audit findings and recommendations directed to them and for having a process to track their status. | The status is an important piece of information.,37,0
The rest was about to get much worse and much less popular. | The rest had not yet hit rock bottom. ,25,1
"Francisco de Goya painted a court portrait of the next king, Charles IV, in which he looked strangely like George Washington. | de Goya painted a portrait that made him look strange.",37,1
"Upon finishing this book, I was seized by a deep feeling of stuckness. | I tossed the book aside and never thought about it again.",30,0
i'll uh buy some plastic and make a little house and | I'll make a little house after buying some plastic.,27,1
"Each phase of the fight is closely controlled by the presidente, from his flag-draped box. | From his flag-covered box, the presidente closely controls every phase of the fight.",39,1
oh gosh that's hard to say  it's um used to be a big Twin Peaks fan but they've made me mad so i haven't watched them in a while in a while | I really like films by David Lynch as well.,53,0
Poirot skipped nimbly aside.  | Poirot moved with speed.,16,1
what kind of questions did you ask about that private sitter before you took her over there | Why didn't you ask the sitter any questions?,30,0
"San'doro looked at her a long time. | San'doro examined her for a long while, with many different thoughts racing through his mind.",33,0
It provides an analytical perspective on the Government because it shows the short- and long-term directions of current programs. | Looking at long-term directions of current programs is part of analytical perspective on Government.,42,1
i mean yeah yeah i went there looking at a used car and two days later i bought this car i i felt i felt like | I got this car after looking for a used card.,39,1
I went back to the space-ship. | I revisited the spaceship.,16,1
"Reviewers predict that the collection's American publication will kick off a wave of Eliot-bashing. | Eliot-bashing will be kicked off by the collection being published in the U.S., predict reviewers.",44,1
"Then I remembered how persistently she had shouted out that word 'Marguerite' and I thought of the pictures, and well, that's that. | I remembered that she had never even uttered a word.",43,0
right right yeah that's true but but that's really the the biggest thing around here is the grocery stores participating you know but | There are no grocery stores.,35,0
enactment of a law to alleviate the Alternative Minimum Tax for middleincome taxpayers. | Law exists to alleviate the alternative minimum tax for middle income taxpayers.,31,1
I didn't need to worry about being murdered or robbed or anything like that- the little salmon symbol on my jacket kept all the lowlifes at a distance. | The lowlifes avoided me.,41,1
and then some of the local guys down there they they took me out to all of these places you know and it's it's really uh it's unique and i think i don't know if it's psychological or not but i think the beef down there is out out of this world we we just don't get the quality up here like like you have | I really liked the beef there.,86,1
"She graciously explains, It is one of the subtle ways we limit who applies. | We have a few silent ways to shorten the list of applicants.",31,1
"It employs a full- time staff of about 75 lawyers, paralegals, intake specialists, social workers and others. | They are well staffed.",33,0
"You e-mail your tale of woe--inferior products, ignorant customer service--to shoppingavenger@slate.com, and the Shopping Avenger will use his reporting skills, which have been described by some as almost supernatural in scope (and have been described by others as adequate and sort of pathetic) to extract on your behalf grudging apologies from faceless bureaucrats at Fortune 500 companies. | Send Shopping Avenger an email, and they might help resolve your tale of woe.",98,1
Analysis is infused throughout the research process in case studies | The research process in case studies has a lot of analysis.,24,1
Somebody always talks!  | Nobody ever talks.,11,0
Suppose that a government decides to provide a subsidy to its breakeven postal service to offset losses on unprofitable routes because it wishes taxpayers and not rate payers to fund the USO. | It isn't fair that tax payers should have to pay for it. ,53,0
So much for the cruel stereotype of the pea-brained dinosaur. | Dinosaurs are very smart.,21,0
well i guess not well maybe you'll get to play more this year | You might get to play more this year.  ,27,1
okay yeah okay well if you're ever in uh DC can look up Wayne Sherman you'll say oh yeah talked to that guy okay | You can look up Wayne Sherman when you're in DC. ,44,1
"Its non-stop street scene derives from the fact that nearly every one of its 20 arrondissements, or districts, has shops, offices, and apartments side by side and on top of each other. | The apartments are side by side and on top of each other, as well as the shops and offices in the 20 or so districts causing a non stop street scene. ",81,1
well i don't know i just figure you know yeah sometimes i worry about you know if i go in in pants and i never i never ever ever go in in a pair of jeans you know but i'll go in in pants i mean today i had on a pair of you know navy blue dress slacks and a and a like a peach colored top and you know not cruddy but not a dress either and sometimes i wonder if stuff like that would will hold you back you know if you don't dress in you know your dress for success business suits everyday if | I never worry about wearing pants or dressing up -I've even gone in jeans before.,137,0
"A little museum inside illustrates the history of the siege, with a model of the first Residency as well as rusty cannons and cannonballs, and prints, photos, and letters. | The history of the siege is detailed by a small museum inside.",50,1
"On that day, Russian scientists launched the first true space traveler, a chain-smoking dog named Laika, who, after befouling his kennel and biting his trainer on the ass, was rocketed aloft in a spacesuit filled with his own urine, it does not add. | The dog was a chain smoker.",67,0
That will be sprung upon us at the trial.  | That will be used to try to prove that we are lying.,26,0
"But I took his number, and I'll send him a postal order to-morrow, so that he won't lose by it if he happens to be genuine. | I sent him his postal order a week ago.",47,0
"Although this type of shadow play probably originated in China, the stories which made it popular in Turkey were based on the exploits of two Bursa peasants. | The stories had a small audience in Turkey and featured a rich woman's expeditions.",48,0
"The old western was almost always a tale of a courageous loner imposing order on lawlessness, as in the Wayne films and Shane (1953). | The old western was almost always a tale of a courageous loner and a cat which is not usually spoken about",56,0
There was no room for doubt. | There was plenty of doubt and questions. ,18,0
"But if you're not watching close ly, you may miss the unprepossessing bust of Christopher Columbus perched atop a column in a little roadside square. | The bust of Christopher Columbus is easy to miss if you're not careful.",50,1
"The landmarks are the air force headquarters (a modern copy of El Escorial) and Madrid's youngest triumphal arch, which commemorates the Franco victory of 1939. | The landmarks commemorate the Franco victory of 1939.",53,1
well that's interesting yeah well | It is interesting.,13,1
"They realized that significant change in the service delivery system was needed because of the increasing complexity of the practice of law, the number of legal services providers in the state, the restrictions on LSC recipients and, most important, changes in laws and programs affecting clients. | They had a change in the service delivery system that was needed because the practice of law is getting more and more complex for law students to learn.",83,0
"This region has made significant progress in developing a comprehensive, integrated delivery system to provide high-quality services to clients throughout northern California. | The region tends to serve clients throughout northern California.",38,1
"I can tell you, Hastings, it's making life jolly difficult for us.  | Hastings knew that life was very difficult for us.  ",31,0
oh yeah you hear a lot about it | You never hear anything about it.,17,0
"Last week, we got a second data point. | We had a second data point last week.",21,1
An agency official has advised that HUD will subsequently issue final regulations. | HUD will be closed down for an audit for the foreseeable future.,28,0
those things there that's what gets us | Those are the things that get to us.,20,1
uh-huh yeah yeah i think i think that's that's important | I believe that is essential.,24,1
because if we want to go camping we can just go just a few miles you know | Camping is totally possible because we don't have to travel far.,33,1
"The red sun painted the land in cool light, turning the sky to a deep shade of amber. | The sun was setting.",27,1
"Surrounded by heavily industrialized suburbs, the old center of Kurashiki has canals lined with dreamy willow trees a reverse comment on the horrors of war. | Kurahiki has canals and willow trees in its center.",43,1
"Remember that negotiations should be undertaken with good humor; this is not a battle, it's more a form of verbal gymnastics meant to achieve a win/win situation. | Negotiations with good humour provide more successful outcomes.",45,0
Aldrin's ShareSpace company hopes to use jumbo-jet-style spacecraft to bring tourists to orbiting space hotels. | Aldrin has a space tourism company that's called ShareSpace.,40,1
Both these conclusions play to Clinton's advantage. | They hurt Clinton.,16,0
"However, the comment I object to is the one where you say there is never a handicapped person waiting to use it when you are done. | 30% of the time, a handicapped person is waiting.",44,0
"yeah hopefully the next generation it won't even be an issue i mean people will just look at you as a person and not as a man or a woman i think that would be the best goal | Hopefully the next generation, in 15 or 20 years, won't be an issue for you.",66,0
"Back on Planet Earth, Clinton won, by a bigger margin than he did last time around, and with the help of a gender gap that Republicans have no idea how to close. | Clinton won by an even larger margin than he did the year before.",52,1
"Over the nave, the two hollow pyramids appear to be designed in the style of chimneys for a castle kitchen. | There are two hollow pyramids made of brick.",33,0
Someone has to absorb the loss. | Someone has to take the fall.,16,0
She hypothesized that under-standing the patient's perception of the interventionist's capabilities might be as important as having detailed measurements of intervention fidelity across interventionists. | It is important to understand the interventionists capabilities according to her hypothesis.,49,1
Sinatra then reportedly ripped the phone out of the wall and threw it across the room. | Sinatra threw a phone across a room.,28,1
"Work is work, whether it is done inside the home or outside the home, Hutchison argues. | Doing work is the same whether its at your house or not.",34,1
"One of Neuharth's first articulations of his metaphysics came in October 1983, in a speech to the Overseas Press Club in New York. | In his speech to the Overseas Press Club Neuharth talked about his beginnings in metaphysics.",54,0
"Study, Interim Report V, Case Studies. | This is probably some corporations data or information.",20,0
The analyses use both quantifiable and general descriptions of the effects of the rule on small entities as required by section 607 and numerous small entities participated in the rulemaking as required by section 609 by submitting comments on the proposed regulation following the inclusion in the notice of proposed rulemaking of the initial regulatory flexibility analysis which discussed the economic impact on small entities. | The analyses use statistics that are required by section 200 and 201.,96,0
"If they had made him a mandrake-man, then by what little he could remember and guess, they could make him obey them. | They could make him turn on his friends if they'd made him a mandrake-man.",50,0
"uh-huh sure if you had to have a drug test yeah | Sure, if you had a drug test and failed you would be mad.",30,1
"You can always head away from the coast and into the hills for some peace. | In search of peace and quiet, you could take a trip to the forest to the west.",37,0
Our work also has shown that the international | Our work does not strive to show that the international...,21,0
um some some later proof sets because they have a slight error in them are are worth hundreds of dollars you know and and the coins themselves aren't worth very much at all face value basically | Some of the sets are worth a lot of money because of the errors they contain.,57,1
He unwrapped the bundle and his eyes widened. | In the bundle was a new sword made of pure gold. ,25,0
"The top-floor Capitoline Picture Gallery (Pinacoteca Capitolina) has important Venetian works by Bellini, Titian, Tintoretto, Lotto, and Veronese, as well as a fine Rubens Romulus and Remus and Caravaggio's St. John the Baptist. | Caravaggio's St. John the Baptist was originally painted in the basement of the building.",77,0
"Analysts see this as a milestone in the publishing industry's descent into the madness of superstar free agency , which has already overtaken Hollywood, CEO compensation, and professional sports. | The one area not affected by superstar free agency has been professional sports.",50,0
"In an effort to significantly upgrade the expertise of information security officers in its various business units, the central group at the financial services corporation had recently arranged for an outside firm to provide 5 weeks of training for These individuals. | The financial services group issued no training.",54,0
"Those skills have been handed down to present-day craftsmen working in yew wood, and the old timbered houses are exquisitely maintained in traditional style. | Craftsmen work with yew wood.",38,1
