prompt,prompt_len,target
"During the same quarter last year, EDS declared a profit of $354 million, or 72 cents per share. | EDS reported a first-quarter loss of $126 million, or 26 cents per share.",50,1.5
A man is talking with a woman. | A woman is walking with a dog.,18,0.5
Iron Lady Margaret Thatcher dies at 87 | Former British PM Margaret Thatcher dies at 87,21,4.6
NATO strike 'kills civilians' in Afghanistan | Two NATO soldiers killed in Afghanistan,16,0.8
Israel ends airstrike case; Palestinians critical | Israeli gunboats fire at Palestinian fishermen,17,1.4
Palestinian prisoners arrive at Muqata in Ramallah | Pakistani prisoner assaulted in Jammu jail,18,1.0
A black and white image of a cat laying on a rug. | Black and white picture of a cat laying on a rug.,27,5.0
Russian lawmakers pass new bill restricting Internet | Russia says ballistic 'objects' fired in Mediterranean,18,0.4
"Among the workers, the researchers found short workers had worse hearing than expected for their age. | ""Short workers had worse hearing than expected by age -- three times more often than taller workers,"" writes Barrenas.",44,3.8
Hijacker arrested after plane lands at Geneva Airport | Hijacked aircraft lands in Geneva,17,3.0
"Outrage after reports emerge about 6-year-old Indian girl raped at school | Outrage After Indian Girl, 6, Raped at Her School",33,5.0
A small dog runs through an obstacle course. | A small dog jumping over an obstacle.,19,3.8
Pentagon adjusts plans for more intense attacks on Syria | Pope thanks public for joining his Syria vigil,20,1.0
A dog splashing in the water. | A dog splashes in the murky water.,17,4.0
"AFTRA members approved the merger by a vote of 75.88% to 24.12%. | AFTRA, on the other hand, approved the merger by a whopping 75 percent.",46,4.091
north korea denies involvement in any nuclear program in syria. | north korea denies involvement in any syrian nuclear project.,25,4.4
What the Pope's butler saw – aide arrested over Vatican leaks | Pope’s butler arrested in scandal over Vatican leaks,25,3.4
Coronation Street's Bill Roache Arrested | Coronation Street stars hail 'amazing' new set,20,1.2
A person is cutting garlic into pieces with a knife. | Someone is putting ingredients into a wok.,21,0.75
Suicide bomber kills 3 at US base in Afghanistan | Suicide bombers attack US base in Afghanistan,19,2.8
A woman is grating carrots. | A woman is coating a pork chop.,16,1.6
France Says Won't 'Shirk Responsibilities' in Syria | France urges EU to be united on Syria,23,2.6
"AFTRA members approved the merger by a vote of 75.88% to 24.12%. | AFTRA, on the other hand, approved the merger by a whopping 75 percent.",46,4.091
Georgians vote for new president | Ally of Georgia's billionaire PM to be president -exit polls,21,2.6
Egypt's Muslim Brotherhood Refuses to Back Down | Egyptian court sentences Muslim Brotherhood leader to life in prison,22,1.4
7.3 magnitude earthquake strikes Nepal | 6.6-magnitude earthquake strikes off Indonesia,19,1.0
China sets Bo Xilai trial date | China Bo Xilai trial in fourth day,17,3.2
A girl is putting gel in her hair. | A woman is putting gel on her hair.,20,2.6
The dining room table gets some afternoon sun. | Dining room with wooden dining table set with playmates.,22,2.2
China yuan strengthens to 6.1184 against USD Tuesday | China yuan weakens to 6.1510 against USD,29,1.8
A dog is barking. | A jet is flying.,12,0.231
Strong new quake hits shattered Pak region | Powerful new earthquake hits shattered Pakistan region,16,5.0
Sri Lanka seek one-day revival against Pakistan | Senior journalist killed in Pakistan,16,0.6
Fight for Mali Town Reflects Islamist Tactics | EU to train Mali army to fight northern Islamist militants,20,2.0
A man is playing guitar. | A man plays a guitar.,14,4.857
A tan calf with a yellow tag on his left ear looking at the camera. | A man with glasses and two plastic bottles in the foreground.,30,0.6
Building collapses in India; 25 feared trapped | India building collapse kills 14; dozens trapped,22,3.0
A man is cutting tomatoes into pieces. | A woman is cutting some vegetables.,17,1.8
A girl runs with dogs in a dry field. | A grey dog and a tan dog playing on a grassy field.,25,2.2
Birthday of DPRK to Be Celebrated in Peru | Curiosity Rover Celebrates 1 Year on Mars,21,0.4
"""Fairies don't exist"" - fine. | ""Leprechauns don't exist"" - fine.",26,1.0
Syria journalists rescue bid fails | Journalists smuggled out of Homs,13,0.6
