prompt,prompt_len,target
"In order to be comprehensive and cohesive, the researchers provide a great deal of detail and description and quote directly from the participants' own words and vignettes in the observers' field records. | Some of the participants' words were shocking, while others were amazing.",53,1
"According to the Enquirer , John Clark, who has been married to Redgrave for more than 30 years, fathered a child eight years ago by his personal assistant. | John Clark was married to Redgrave for more than 30 years. ",54,0
in fact they were they out drew the Cowboys there for quite a while | I am a fan of the Cowboys.,24,1
"( Slate 's Jacob Weisberg reviews the book in his column, Strange Bedfellow. | Slate's Jacob Weisberg gives an opinion about the book in his column.",36,0
and uh it was through him that | It was not through him.,15,0
"As Drew unstrapped those he wore and fitted the new pair to his boots, a brown, calf-bound book thudded to the floor. | Drew wore the new pair after he unstrapped the ones he had been wearing.",49,0
"Improper payments are a widespread and significant problem receiving increased attention not only in the federal government but also among states, foreign governments, and private sector companies. | Improper payments are a rare occurence. ",42,0
"Executive Office of the President, Council of Economic Advisors. | Economic advice is highly values by the President.",22,1
So much for the cruel stereotype of the pea-brained dinosaur. | Dinosaurs are very smart.,21,0
"I wish you could have seen it then, sir.  | I wish you saw it.",20,0
"When the mayor proposed a one-cent sales tax to shore up Little Rock's frayed budget, the city revolted. | The city did not want to pay an extra sales tax.",39,0
there's a lot of um-hum | There is only a few.,17,0
i like that where they run tense i really enjoy they keep me guessing the whole time it's really it was really interesting | They are so boring I have trouble staying awake while watching them.,40,0
Every part of him appeared designed to stab the blade through that man as if it were the only action he could take. | He looked like he was designed to stab the man.,37,0
"Exaggerated and crude claims of liberal bias have become an excuse for poor journalistic standards, and for shoddy intellectual ones as well. | There is very little bias in journalism.",37,1
you're fading away Jim | Jim was getting harder to hear.,15,1
"He merely grunted and jerked down his flag. | After making little noise, he lowered the flag.",22,0
"yeah i mean they're they're throwing more money at it now than ever before and things are getting worse | The money is going to the wrong things, so it's not fixing the problem",42,1
"What time is it?  | I don't know what time is it, said the man at the bus stop.",26,1
but i don't know that it's a big money | He is sure it's a lot of money.,26,0
"He has gathered only 20 co-sponsors for his impeachment resolution, almost all of them GOP wing-nuts. | The sponsors are not credible due to their political affiliation and history, so his resolution is going to die.",48,1
