prompt,prompt_len,target
Then What?,4,1
The Essex Serpent,4,0
U Saved Me,4,1
Bury the Chains,5,0
The Kingmaker's Daughter,7,0
Waking Up: A Guide to Spirituality Without Religion,11,0
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",15,0
Run to You,4,1
The Party: The Secret World of China's Communist Rulers,14,0
Watch Me When I Kill,6,0
Brimstone,4,0
"Will Grayson, will grayson",7,0
Running Brave,3,0
True You: A Journey to Finding and Loving Yourself,11,0
Catallena,4,1
Get Up,3,1
Sweet Mud,3,0
All Night Long,4,1
Drive,2,1
An Appetite for Wonder,5,0
Coming Home,3,1
Been Down So Long It Looks Like Up to Me,11,0
Five Point Someone: What not to do at IIT,11,0
Drive,2,1
Give Your Heart a Break,6,1
Sha-La-La-La-Lee,10,1
What Happens in a Small Town,7,1
Eliza Fraser,3,0
The Legend of Marilyn Monroe,6,0
Wu Tang Forever,4,1
Nothin' My Love Can't Fix,10,1
Tea in the Sahara,5,1
Gentleman,3,1
Somewhere in the City,5,0
Moth into Flame,4,1
Back That Thang Up,6,1
The Diamond Queen,4,0
"The 5,000 Fingers of Dr. T",13,0
The Crooked Road,4,0
Say Something,3,1
Hey Little Tomboy,5,1
Live and Die for Hip Hop,7,1
Hella Nation,4,0
I Think They Like Me (So So Def Remix),12,1
Une chance sur deux,5,0
The Paris Architect,4,0
Personal,2,0
The Dog Who Stopped the War,7,0
Toman,3,0
Tatooine Ghost,5,0
We Trying to Stay Alive,6,1
The Wheel,3,1
Fall Again,3,1
Fists in the Pocket,6,0
Rip This Joint,4,1
Naked in Death,4,0
Elephant Run,3,0
"The Heretic Anthem"" / ""Heretic Song",11,1
League of Dragons,4,0
Ce n'était qu'un rêve,9,1
Shout It Out Loud,5,1
A Rock 'n' Roll Fantasy,8,1
Psychosocial,3,1
Maybach Music 2,6,1
Deuta,3,0
Waiting for the Sirens' Call,8,1
Nine Coaches Waiting,4,0
Love at Second Sight,5,0
Tři oříšky pro popelku/Drei Haselnüsse für Aschenbrödel,21,0
Amnesia,3,1
The First Confessor: The Legend of Magda Searus,12,0
The Shortcut,3,0
Little Things,3,1
Aerials,3,1
Between the Sheets,4,1
Return of the Fly,5,0
No Apology:,5,0
Azumi,3,0
La Traversée de Paris,6,0
Resurrection Power,4,1
Paladin of Souls,4,0
Ladki,3,0
What the Hell,4,1
Billy Boy,3,0
Blondie's Hero,6,0
Manam,3,0
Barney Bear,3,0
Gets Me Through,4,1
Feel the Heat of the Night,7,1
Dragons in the Waters,5,0
The “Priest” They Called Him,8,1
Fireworks,3,1
October,2,1
The Long Utopia,4,0
Two Hearts,3,1
To Brave Alaska,4,0
Renegade,3,1
Shimmy Shimmy Ya,6,1
Dino: Living High in the Dirty Business of Dreams,11,0
Misery,3,0
Part of the List,5,1
My Baby Thinks He's a Train,10,1
Everything's Gonna Be Alright,7,1
Reflections of My Life,5,1
No Complaints,3,1
Boom Boom,3,1
Younger,2,1
Breaking Me,3,1
Many Waters,3,0
Pygmy,4,0
Everybody Hates Me,5,1
Heaven,2,1
Bop Bop Baby,5,1
Seven Wonders of the World,6,0
Pretty Maids All in a Row,8,0
Dharma Chakram,5,0
Clouds,2,1
Jaded,3,1
(The Monstars' Anthem),8,1
Hells Bells,4,1
Jerk Out,4,1
The Shadow Rising,4,0
"Love Is a Mix Tape: Life and Loss, One Song at a Time",16,0
Beyond the Door,4,0
No Ashes in the Fire,6,0
Fools Rush In,5,0
Ankhon Mein Tum Ho,7,0
Война,3,0
Tsumi to Batsu,6,1
The Truth About Forever,5,0
The Shiva Option,4,0
One of Them Girls,5,1
My Place,3,1
I Miss My Friend,5,1
Then We Came to the End,7,0
The Hive,3,0
The Tombs,4,0
Burn Out,3,1
Triggered (Freestyle),6,1
Needles and Pins,5,1
When I Think About Cheatin',8,1
Another Drink,3,1
Run Away with Me,5,1
Everyday Is a Winding Road,6,1
Tenerife Sea,4,1
Hold You Tight,4,1
Voices,2,0
Morgiana,4,0
The People That We Love,6,1
Minbo,3,0
Ballistic Kiss,4,0
If You Go,4,1
Bullet,2,0
Let Me Love You Tonight,6,1
Signs of Life,4,0
Today,2,1
I Got the Blues,5,1
A Little Bit Longer,5,1
Perfect Storm,3,1
State of Fear,4,0
Gang Up,3,1
Forever Your Girl,4,1
Nemesis 3: Prey Harder,8,0
Indomitable,4,0
Why I Love You,5,1
Maana Ke Hum Yaar Nahin,9,1
Dansevise,4,1
Made to Stick,4,0
Must Be Nice,4,1
Legacy (Eight EP),6,1
Mefisto in Onyx,6,0
José Cuervo,4,1
Just a Song About Ping Pong,7,1
Bairi Piya,5,1
Requiem,2,1
Pearl's a Singer,6,1
Come See About Me,5,1
Sorry,2,1
Manam,3,0
Do You Think About Me,6,1
Praja,3,0
Yesterday,2,0
The Bartender and the Thief,7,1
Me Too,3,1
Ali Baba and the Forty Thieves,7,0
Moonlight Express,3,0
B Boy,3,1
The Visible Man,4,0
Three the Hard Way,5,0
The Puzzle Palace,4,0
Attack of the Clones,6,0
Playas Gon' Play,6,1
The Resurrection Casket,5,0
But What If We're Wrong? Thinking About the Present As If It Were the Past,19,0
I Ain't No Quitter,8,1
Warriors of the Storm,5,0
The Right Approach,4,0
Can You Forgive Her?,6,1
Sharpe's Trafalgar,6,0
Neymar Shimray,4,1
You & Me,4,1
Because I Love You (The Postman Song),11,1
A Huey P. Newton Story,7,0
Raiders of the Seven Seas,7,0
Gold Digger,4,1
The Darkest Evening of the Year,8,0
I Thought It Was Over,6,1
Dot and the Whale,5,0
Rubberband Girl,4,1
A Thousand Splendid Suns,6,0
Wonderful Tonight,3,1
Marry the Night,4,1
"(""Daisuki da yo."" / ""I love you.)",14,1
I'm Livin' in Shame,9,1
Make Me an Offer,5,0
One Day at a Time (Em's Version),12,1
Escuela de rateros,6,0
Surviving Picasso,3,0
Letter to God,4,1
Go Hard or Go Home,6,1
Sex.Violence.FamilyValues,7,0
Hang with Me,4,1
Five Days from Home,5,0
Thunderball,3,0
White Lines (Don't Don't Do It),13,1
Please Stay,3,1
Sexy Susan Sins Again,5,0
Rella,3,1
The Rivers of Zadaa,7,0
Tom Ford,3,1
Daffy Duck: Frustrated Fowl,9,0
You Love Us (Heavenly Version),8,1
Do You,3,1
The Tin Mine,4,0
Auberge,3,1
Bitch,2,1
The House of Silk,5,0
Play Ball,3,1
Lonely,2,1
Claws for Alarm,5,0
Lost Light,3,0
Took Us a Break,5,1
Darkwing,3,0
The Last Day on Earth,6,1
Hitz,3,1
Forever and a Day,5,0
The 4th Floor,6,0
Chasing Cars,3,1
Galliyan,4,1
My Projects,3,1
Alludugaru,5,0
Twenty Five Years of an Artist,7,0
Going Underground,3,1
Breathing Underwater,3,1
Thamizhan,4,0
American Boy,3,1
Hands of Death (Burn Baby Burn),9,1
I'm Still Hot,6,1
The Last Days,4,0
Where I Come From,5,1
Piano Concerto No. 1,7,1
Follie di notte,5,0
Manohari,4,1
In Fabric,3,0
Dance with You (Nachna Tere Naal),11,1
To Be the Man,5,0
Swamp Thing,3,1
The Ice House,4,0
My God Is the Sun,6,1
Leave It Alone,4,1
The Ballad of Songbirds and Snakes,8,0
Keep On Movin',6,1
High Hopes,3,0
Let Me Introduce You to the Family,8,1
You,2,1
The Best Man,4,0
Boond Jo Ban Gayee Moti,9,0
Better Days (And the Bottom Drops Out),10,1
Redefinition,3,1
My Last Name,4,1
Electricity,2,1
Pretty Wings,3,1
Blood of Tyrants,5,0
Wobble,4,1
Gold,2,0
Versace,3,1
Il cane di terracotta,5,0
Ajantrik,4,0
Buddy's Song,5,0
Paint My Love,4,1
Talk to Me,4,1
Dust in the Wind,5,1
Crazy Town,3,1
Blue Bird,3,1
D'un château l'autre,8,0
Sakura no Shiori,5,1
A Forest Apart,4,0
Antonia and Jane,5,0
Homburg,3,1
Sheitan,3,0
Night Flight from Moscow,5,0
The Camel Club,4,0
Don't Believe in Love,7,1
You're in a Bad Way,8,1
Spin the Black Circle,5,1
Take It from Me,5,1
Gilead,3,0
I Get Around,4,1
O Let's Do It,7,1
Tear Away,3,1
House of Secrets,4,0
Lincoln in the Bardo,6,0
Spook Country,4,0
Vallista,3,0
Doomsday,3,1
Girls Like You,4,1
Feels So Good,4,1
When I Kissed You,6,1
A Thousand Miles,4,1
Rage,2,0
When You Gonna Learn,5,1
No.20 Madras Mail,7,0
17th Suspect,6,0
Golden Son,3,0
Joining You,3,1
Weak Become Heroes,4,1
A Wizard of Mars,5,0
Grant Comes East,4,0
Dark Visions,3,0
Morpho Eugenia,4,0
Land of a Thousand Words,6,1
Two Graves,3,0
Girls,2,1
Starfighter Pilot,4,1
The Time Is Now,5,1
Step Sisters,3,0
Safe and Sound,4,1
The Spiral Staircase,5,0
All or Nothing,4,1
Cruise,2,1
Night Visions 5,5,0
What I Am,4,1
West,2,0
Why Can't I Wake Up with You,10,1
Ready to Go,4,1
Goody Two Shoes,5,1
The Rising Force,4,0
Flirt,3,0
LAPD '53,6,0
Guiding Light,4,1
Twist,2,1
"Denias, Senandung Di Atas Awan",10,0
I Will,3,1
Trumpets,3,1
The Sun in a Net,6,0
Agent trouble,3,0
Beastly,3,0
Samiran Barua Ahi Ase,8,0
The Mind Benders,5,0
My Number,3,1
Tales from Jabba's Palace,8,0
Aitakatta,5,1
I Gotcha,4,1
Sober,3,1
Blue in the Face,5,0
Mass Effect: Andromeda,5,0
Shanks,3,0
The Last Kiss,4,0
Always Look on the Bright Side of Life,9,1
4ever,3,1
Carnival Nights,3,0
Nobody but You,4,1
Run It!,4,1
2 in the Morning,5,1
Weak Heart,3,1
Save Room,3,1
Sade,2,0
No Surprise,3,1
Lonely,2,1
It's My House,6,1
KK,2,1
Der Stern von Afrika,5,0
Warm Love,3,1
The Abyss Beyond Dreams,5,0
When We Was Fab,5,1
Nobody Speak,3,1
Sphere,2,0
An Appetite for Wonder,5,0
Far Away,3,1
Cryin',4,1
(If You Let Me Make Love To You Then) Why Can't I Touch You?,20,1
I Do What I Do,6,0
Delirium,3,0
Asleep,3,1
Isobel,3,1
Submarines,3,1
Sick of Life,4,1
Aragonese Nobility,6,0
Screaming Eagles,4,0
Politics,2,1
Baabul,4,0
Play with Fire,4,1
Mixed Emotions,3,1
I Can Hear the Grass Grow,7,1
Face to the Floor,5,1
Welcome to the Universe: An Astrophysical Tour,9,0
The Last Year,4,0
California Love,3,1
Ermo,3,0
Feline Frame-Up,6,0
The Other Queen,4,0
Dami Duro,4,1
I Am Brian Wilson: A Memoir,8,0
María,2,1
Evolver,3,0
Beneath the Neon,4,0
Charlie the Choo-Choo,7,0
Shriners Convention,4,1
Saturn,2,1
"Bush at War, Part III",7,0
The Hours,3,0
Bharath Stores,4,0
In This Life,4,1
Breaking Down,3,1
Vampire,2,1
Mr. E's Beautiful Blues,8,1
Physical,2,1
Feel the Vibe,4,1
L'odore della notte,6,0
Quasar,3,1
Instagram,2,1
Right Down the Line,5,1
12th of Never,6,0
Teeth,2,1
What Do You Want,5,1
House of Gold,4,1
Night of the Living Dead 3D: Re-Animation,13,0
This D.J,5,1
It's the End of the World as We Know It (And I Feel Fine),19,1
Ada Wigfield,4,0
Hokuriku Proxy War,6,0
Shockaholic,4,0
Instant Karma!,4,1
Sanctify,4,1
You're Gorgeous,5,1
Feel Like Dance,4,1
Fergalicious,4,1
Destiny's Road,5,0
Torn Apart,3,1
Radical: My Journey out of Islamist Extremism,10,0
Aquí Yo Mando,5,1
Mrs. Soffel,6,0
Mickey's Monkey,5,1
