prompt,prompt_len,target
"Joan, Countess of Flanders",6,1
Titian,3,0
Alfred Andersch,4,0
Dagobert Sigmund von Wurmser,9,0
Théophile Cart,4,0
Christopher Sower,4,0
Zhang Fu,3,1
Françoise de Foix,6,0
Henry P. Alexander,5,1
Yuri Dolgorukiy,6,1
Friedrich Leibniz,3,0
Conrad I of Germany,5,1
Johann Michael Feuchtmayer the Elder,8,0
Robert Walker,3,0
Dhu Nuwas,5,1
Leo Laakso,5,0
Ernest Ziaja,4,0
Heinrich von Köln,4,0
Matthias Hoe von Hoenegg,7,0
William the Clerk,4,0
Gao Jixing,5,1
"William III, Count of Geneva",7,0
Herman III,3,0
Charles I of Württemberg,6,1
Sava Sedmochislenik,8,0
Fran Krsto Frankopan,6,0
Karl vom Stein zum Altenstein,7,1
Matteo Bassi,3,0
Harry McShane,4,0
Marius Žaliūkas,6,0
Kasper Doenhoff,6,1
Mike Fitzpatrick,3,1
Anne Boleyn,4,1
Wang Zhen,3,1
Elen ferch Llywelyn,8,0
Zhang Xiu,3,1
"Frederick IV, Count of Zollern",8,0
Sophie Charlotte of Hesse-Kassel,8,0
Berengar I of Italy,6,1
Tue Trung,3,0
Johann Theodor Katerkamp,6,0
Gjin Bua Shpata,7,1
Walter of Pontoise,5,0
Friedrich Wilhelm Adami,5,0
James III of Majorca,6,1
Leonhard Rauwolf,5,0
谢嘏,3,1
Gustav III of Sweden,5,1
Pierre II de Gruyère,6,0
"Lorenzo de' Medici, Duke of Urbino",10,1
Valentine,2,0
Alexandra Velyaminova,6,1
Nicolò Donato,5,1
James of Avesnes,5,1
손건,3,1
Berardo Berardi,5,0
Chen Li,3,1
Hans von Berlepsch,6,0
Alfred von Croÿ,5,1
Ibrahim Sultan,3,0
Eleanor of Anhalt-Zerbst,8,1
Vasily Sokolovsky,6,1
Henry of Lexington,4,0
"Eberhard II, Duke of Württemberg",10,0
Rose Ausländer,4,0
Emperor Jiemin of Northern Wei,7,1
Daniel Heinrich Arnoldt,5,0
Yolande of Aragon,6,1
Theodora Tocco,5,1
Nikolaus von Butrinto,7,0
Goswin I of Heinsberg,8,0
Étienne-René Potier de Gesvres,9,0
