prompt,prompt_len,target
"The girl counted the notes in a businesslike manner, secured them in her handbag, and rose. | The girl had counted the notes before burning them.",32,1
" Before Dave could ask what he was to stop, Nema came rushing into the room. | Nema ran into the room before Dave could ask what he was supposed to prevent.",35,0
"The 29th. The Russian seemed to consider: ""That is rather soon."" | When told the 29th, the Russian gave it no thought.",35,1
okay well it's been nice talking to you  good luck in school bye bye | It was nice talking to you and I wish you good luck in school. Bye!,36,0
"If you would like to scale the highest heights, you'll need expert guidance. | Some lessons and advice are a good idea if you want to climb.",33,0
"There is such a person, then?  | Is this person in the country?",18,0
"By reputation, Baldwins play the field, sleeping around Hollywood, then settling down with a beautiful woman. | Baldwins are wild men.",29,0
No foresight!  | Yes to foresight.,10,1
you buy a car it depreciates you buy a home and it inpreciates it it it | Cars depreciate 20% the first year.,34,0
"And then, of course, there was the New York Times , that old mainstay of psychotic delusion--Nash thought aliens were sending him encrypted messages through its pages (come to think of it, that could explain the Times ' odd prose). | Some nutjob thought aliens were communicating with him via the New York Times.",64,0
I expect more from your publication than the language used by spammers looking to sell me porn. | Selling porn via spam often yields the most return.,31,0
"They stood again, tips to the sky and left hands out in salute. | They were on their feet.",23,0
"For further information contact The British Mountaineering Council, 177 179 Burton Road, West Didsbury, Manchester, M20 2BB; Tel. (0161) 445-4747; fax (0161) 445-4500. | The British Mountaineering Council rarely answers the phone when they should.",85,0
"Finish your visit to the Marais with a walk through the old Jew?­ish quarter (or shtetl, as Paris Jews call it) around the Rue des Rosiers, enjoying the wonderful smells from its delicatessens and falafel shops. | You can walk through the Jewish quarter.",61,0
just set it up and get out of get out of the city for awhile | Stay in the city for as long as possible.,27,1
"However, one side of the inlet has been engulfed by an outburst of sleekly modern hotels. | The hotels near the inlet are all very old.",31,1
"According to the EPA's discussion, the streamlined requirements of the revised proposed rule drastically reduce the burden on both small businesses and small communities. | The EPA wants to introduce new requirements for the factories.",41,0
Take about 10 minutes to think through this example and write out your answer. | Read the example and write down what you think is wrong about it.,33,1
The first thing is for you and your spouse to agree on an underlying philosophy of gift giving. | Both spouses doesn't have to be in agreement on gift giving.,35,1
"In making this judgment, the auditor should take into account the uncertainty of estimates and assumptions made in using a cost model. | It is not necessary for auditors to interview the people responsible for estimates.",40,0
More depressing is the possibility that he means it. | He denied the possibility that he means it.,21,1
"Hotel shopping areas consisted of retailers selling primarily expensive and tacky (or sometimes cheap and tacky) merchandise, and malls were utilitarian outlets of typical retail stores. | Hotel shopping areas just sold tacky junk.",40,0
"The reconfiguration standards spelled out in this Special Report to Congress consolidate informa- tion taken from the following previously published LSC  Building State Justice Communi-  A State Planning Report from the Legal Services Corporation, April 2001; Letter to NLADA, CLASP, and PAG, May 1999; Program Letter 98-1; Program Letter 98-6; Program Letter 2000-1; and Program Letter 2001-7. | The special report to Congress includes numerous amounts of legislature.",117,0
'You really don't speak Russian?' | I asked if she spoke Spanish.,18,1
"Many of the city's churches, palaces, and museums still show signs of ongoing reconstruction and restoration after the devastating earthquake of 1980. | The city's churches, palaces, and museums are all in pristine condition.",49,1
"and uh so i've heard the name and uh well back to the topic i guess we've talked long enough Bill | Bill, we've talked more than enough.",37,1
"The dilution water used in effluent toxicity tests will depend on the objectives of the study and logistical constraints, as discussed in Section 7, Dilution Water. | The diluted water is outlined in Section 9, Distilled Water.",46,1
"Unlike McIntyre's un-PC example regarding blindness, marriage is a choice; for some, taxes will feature in a decision to get married. | McIntryre said something that upset all the blind people in the room.",46,0
"yeah yeah well i i uh i work with computers at work and then i come home and do and i have uh a little lap top at home that i just like to play with | I don't like working at home on my laptop, I just play games on it.",57,0
because normally i'm i'm at work before seven so uh just stay a little later that as it were and and make the the effort to vote uh but unfortunately since there are so many other things that uh our city wants to vote on | I'm never at work before seven so it is impossible for me to make time to vote.,71,1
not really uh i mean i would just like to be you know five or six pounds thinner but i don't consider that to be that big a deal | It is a big deal to me.,41,1
i mean we're really fortunate to live here but doing these conversations it makes me feel really bad that there are kids that can't can't get out of the situation they're in and they're they'll eventually end up even if they want to be good kids they'll eventually end up uh more or less victims of crimes even though they're doing the crimes they're more or less a victim | I do not care about the kids who are trapped in their situation.,103,1
you're kidding oh that's interesting | That's boring man,16,1
