prompt,prompt_len,target
Cuba move triggers war of words Cuba and the US trade bitter words after Cuba announced it was banning the use of dollars on the island.,28,Politics
"Tokyo Exchange Plans Singapore Bourse Accord, Yomiuri Says Tokyo Stock Exchange Inc. plans a cross-membership agreement with the Singapore Exchange Ltd. to let its 109 member brokerages and Singaporean investors buy and sell equities on both ",51,Technology
Army demolishes terror hide-outs PAKISTAN #39;S army backed by artillery and helicopter gunships demolished some  quot;terrorist hideouts quot; in an offensive against foreign militants but failed to capture a former Guantanamo Bay prisoner accused of targeting security forces in a tense tribal region ,63,Politics
"FDA questions Ill. plan to buy drugs from UK  WASHINGTON -- The Illinois governor's ambitious plan to help that state's residents buy prescription drugs from Britain also may permit drug imports from Europe's developing nations, the Food and Drug Administration fears.",52,Technology
McTeer appointed new A amp;M chancellor Robert D. McTeer was appointed chancellor of the Texas A amp;M University System by the Texas A amp;M Board of Regents in a special telephone meeting Thursday.,46,Technology
"Slip in demand lowers prices for seats on NYSE New York Stock Exchange members seeking to rent their trading rights outnumber brokers who want them, as profits decline at the world #39;s biggest stock exchange.",44,Technology
"Stewart asks to begin jail term LIFESTYLE guru Martha Stewart has asked United States authorities to jail her as soon as possible. Stewart, found guilty earlier this year of giving false information about insider dealing trades, said she ",44,Technology
"US trade deficit hits new record 55.5 billion dollars WASHINGTON (AFP) - The US trade gap unexpectedly shot to a record 55.5 billion dollars in October as Americans sucked in more imports, particularly from China, and oil prices sizzled.",55,Technology
"Qaeda Leaders Elusive Despite Pakistan Crackdown Pakistan appears no closer to crippling al Qaeda or snaring its leader, despite scores of militant arrests in recent months which highlighted ",34,Politics
"Hollywood cant stop the BitTorrent Movie and record industry executives want Americas highest court to review a ruling legitimizing peer-to-peer software, but file-sharing networks wont give up the fight.",40,Entertainment
"Priest Holmes Placed on Injured Reserve  KANSAS CITY, Mo. (Sports Network) - Kansas City Chiefs  running back Priest Holmes will miss the remainder of the  season after being placed on injured reserve Thursday.",43,Sport
"78 suffocate to death in Thai army custody PATTANI, THAILAND, OCTOBER 26 : Almost 80 people died in military custody in southern Thailand, suffocated while being transported in trucks to Army barracks after a violent demonstration by Muslims, officials said on Tuesday.",59,Politics
"Philippine Ferry Blast Said Caused by Bomb MANILA, Philippines Oct. 11, 2004 - A bomb planted by the brutal Abu Sayyaf group caused a ferry fire in February that killed over 100 people in the Philippines #39; worst terrorist attack, an investigation concluded Monday.",64,Politics
Yukos suffers further tax setback Russian oil and gas company Yukos has suffered another setback in its battle to avoid paying billions of dollars in back taxes and avoid bankruptcy.,34,Technology
Battle near southern Somali port Several Somalis are killed in fighting between rival militias near the port city of Kismayo.,25,Politics
"Aiming to call his own shots It won't be long before speculation of Charlie Weis's future employment will begin trickling out. He is a fascinating figure -- an offensive coordinator who has worked for Bill Parcells and Bill Belichick, the guy who took Tom Brady to two Super Bowls in three years. Weis had stomach surgery and nearly lost his life in the summer ...",77,Sport
"Germany #39;s Schroeder adopts three-year-old Russian girl BERLIN: German Chancellor Gerhard Schroeder and his wife have adopted a daughter, an official with Schroeder #39;s party said Tuesday. Schroeder and his wife, Doris Schroeder-Koepf, picked up the 3-year-old Russian girl named Victoria several weeks ago from a ...",74,Politics
"THE WEEK ON THE STREET NEW YORK (CBS.MW) -- It sure isn #39;t the Goldilocks Economy of yesteryear -- you know, not too hot, not too cold, but just right.",46,Technology
American Sprinters Show a Mix of Bluster and Speed Shawn Crawford of the United States left the baseball cap at home and no longer needed the showy sunglasses he wore in Saturday morning #39;s first heat.,44,Sport
"Mauresmo and Bovina advance to Generali final Top-seeded Amelie Mauresmo of France came back from a set down to beat Serb Jelena Jankovic 4-6, 6-3, 6-2 Saturday and reach the final of the \$585,000 Generali Ladies Open at the Intersport Arena.",74,Sport
"Dallas 122-113 over Wizards In his first game back in Washinton, Jerry Stackhouse made the Wizards pay with his clutch long-range shooting. The former Wizard scored 28 points, including three 3-pointers ",52,Sport
"JB Oxford sued for improper trading The Securities and Exchange Commission has sued JB Oxford Holdings Inc., a small brokerage and clearing company, and three of its executives for allegedly ",34,Technology
"Bush campaign Web site blocks overseas visits Net surfers outside the U.S. interested in U.S. President George Bush's re-election strategy aren't currently able to learn about it from his campaign Web site. Visitors from a number of international locations reported hitting ""access denied"" errors as they tried to reach the site on Tuesday.",70,Entertainment
"Photos Plus Music Equals an Expensive iPod First Apple put some color on the iPod, when it offered the iPod mini in a palette of pastel hues, and now it has put some color inside it, in the form of the new iPod Photo.",49,Entertainment
Cell Phone Provides Breath Alert German telecommunications company Siemens Mobile says it is developing the first cell phone that will alert users when their breath is bad.,30,Entertainment
"Miami (FL) Hurricanes MIAMI (Ticker) -- In its first season in the Atlantic Coast Conference, No. 11 Virginia Tech is headed to the BCS. Bryan Randall threw two touchdown passes and the Virginia Tech defense came up big all day as the Hokies knocked off No.",60,Sport
"Cisco, Microsoft pledge security interoperability The companies plan to share security features to help customers protect their networks from worms and viruses.",26,Entertainment
Sonics #39; Defense to Get a Boost with Return of Fortson Allen &lt;b&gt;...&lt;/b&gt; PHILADELPHIA - How valuable has Danny Fortson been to the Seattle SuperSonics? He #39;s having an impact on the team even when he #39;s not playing.,72,Sport
"AOL revamps multimedia search engine com December 1, 2004, 10:30 AM PT. This priority retains its ranking at number five as more and more companies deploy Web services to share business logic, data and processes with each other and with clients.",59,Entertainment
"Al Qaeda's Tech Traps Investigations, arrests highlight how technology aids and weakens terror network.",19,Entertainment
Chronology of Key Events in Kobe Bryant (AP) AP - Timeline of the sexual assault case against Los Angeles Lakers star Kobe Bryant:,28,Sport
"Spain #39;s BBVA to acquire Texas-based financial group MADRID, Spain Spain #39;s second-largest bank says it has agreed to buy Texas-based Laredo National Bancshares for 850 (m) million dollars in cash.",56,Technology
" #39;Battle not over #39; but Rossi on the brink. After a season full of races labelled  #39;significant #39; or a  #39;turning point #39;, Sunday #39;s Malaysian Grand Prix looks to have been the real thing: Valentino Rossi #39;s victory, combined with seventh for Sete Gibernau, means that the Italian now has one hand on ",94,Sport
"Ch. 11 threat for US Airways flier miles US Airways is at risk of filing Chapter 11 bankruptcy, which has frequent fliers thinking about cashing in miles, Boston.com reports.",43,Technology
"China Mine Blast Kills at Least 56, 100 Missing A gas explosion in a crowded coal mine in central China has killed at least 56 people and left scores missing, the Xinhua news agency said Thursday.",47,Politics
"Iran Hosts Iraqi Official, Eyes Better Relations (Reuters) Reuters - Iraqi deputy Prime Minister Barham Salih\said Sunday he brought a message of friendship to Iran, which\has been angered by charges it is stirring up tension in Iraq,\the official IRNA news agency said.",57,Politics
Sanders Nears Return Ravens defensive back Deion Sanders appears close to returning for Sunday's game against the New York Giants.,26,Sport
"Three more judges rule Hamm gets gold medal Sports #39; highest court rejected an appeal from a South Korean gymnast on Thursday, ruling that Hamm is the rightful champion in the men #39;s all-around competition at the Athens Games.",51,Sport
"DOE awards \$235 million for clean-energy power plant in Fla. Oct. 22 -- The US Department of Energy has awarded a \$235 million grant to help fund the development of a clean, advanced technology coal-fired power plant near Orlando, Fla.",58,Technology
Dell Posts \$846M in 3rd-Quarter Earnings Dell Inc. said its profit surged 25 percent in the third quarter as the world's largest personal computer maker posted record sales due to rising technology spending in the corporate and government sectors in the United States and abroad.,60,Entertainment
"ANNWhat does Asia want from China? Asians tend not to be very straightforward. They avoid precise questions and exact answers, even on matters of paramount importance - like money.",35,Technology
"UK gas prices 'pushed up by oil' Gas prices in the UK are likely to remain high for at least another three years, a report predicts, due to record oil prices and supply shortages.",40,Technology
"Kasprowicz #39;s double strike puts Aussies on top Brisbane, Australia: Australia grabbed two key wickets to have New Zealand on the defensive on the opening morning of the first cricket Test at the Gabba in Brisbane on Thursday.",51,Sport
Tamada gets pole position ahead of the Malaysian GP Makoto Tamada of Japan claimed provisional pole position Friday for tomorrow #39;s Malaysian Grand Prix ahead of Sete Gibernau of Spain and world Moto GP champion Valentino Rossi.,48,Sport
"Ivory Coast travel warning THE US today warned its citizens against travel to Ivory Coast, citing a  quot;volatile quot; security situation throughout the country and a high risk of violence against foreigners.",39,Politics
"Kaneria gives Pakistan the edge Sri Lanka were 361 for seven in their second innings, a lead of 91, at close of play on the fourth day of the second Test against Pakistan at Karachi on Sunday.",47,Sport
"Sony Nixes Copy-Protected CDs in Japan Sony Corp. #39;s Japanese music unit says it will no longer sell CDs with built-in copy protection, a technology it had been pushing for two years.",45,Entertainment
Cuba Hospitalizes Dissident After Wife's Protest (Reuters) Reuters - Cuban authorities transferred a jailed\dissident suffering from a herniated disc to a military\hospital on Thursday after his wife staged an unprecedented\protest in Havana's Revolution Square.,53,Politics
"DATA VIEW: Australian Economy Puts Brakes On In 3Q -2- SYDNEY (Dow Jones)--Australian economic growth slowed sharply in the third quarter, hurt by a sluggish export sector with some offset coming from still buoyant domestic demand.",47,Technology
"Coughlin's Attention to Special Teams Pays Off for Giants In contrast to Jim Fassel's ambivalence to special teams, Tom Coughlin devotes considerable time and energy to them. And it is clear his interest is heartfelt.",47,Sport
"Are Pests Plaguing PETsMART? Sales were lower than expected, and the quality of earnings is in question.",25,Technology
Chance for McCants Redskins wide receiver Darnerien McCants is happy to be back on the active roster and contributing again.,26,Sport
"Liverpool boss confirms striker search November 3, 2004. Liverpool boss Rafa Benitez has confirmed he is looking to bring in a new striker following the injury to summer recruit Djibril Cisse.",43,Sport
"Taking the charge out of lightning-fast worms During the early morning of January 25, 2003, the Sapphire/Slammer worm ripped through 75,000 computers in less than half an hour.",49,Entertainment
Cal doesn #39;t run it up -- and is run out of BCS Texas got into its first major bowl in seven years while laying on the couch. Cal perhaps didn #39;t by taking a knee. Jeff Tedford meets the press after learning that California will go to the Holiday Bowl instead of the Rose.,68,Sport
US Group Urges Rumsfeld War Crimes Probe in Germany A US human rights group urged German prosecutors Tuesday to investigate accusations that Defense Secretary Donald Rumsfeld and senior US officers are guilty of war crimes over the Iraqi prisoner abuse scandal.,48,Politics
"Hopes renew as KGL responds to abductors #39; demand Amidst fresh hopes of release of three Indian hostages, their Kuwaiti employer company KGL today declared it had  quot;no presence quot; in Iraq and expected early end to the over month-long crisis as efforts were moving in a  quot;promising  quot;direction quot;.",75,Politics
"Q amp;A: Microsoft chief executive Steve Ballmer - Part Two Many experts say Linux and open-source software is your biggest threat. But is your real competitor a desire for an alternative to Microsoft, rather than any particular product?",48,Entertainment
"Bill Gates: U.S. Need Not Fear Overseas Tech  BERKELEY, Calif. (Reuters) - The United States has nothing  to fear from rapidly growing technology markets in China and  India, Bill Gates, chairman and chief software architect of  Microsoft Corp. &lt;A HREF=""http://www.reuters.co.uk/financeQuoteLookup.jhtml?ticker=MSFT.O qtype=sym infotype=info qcat=news""&gt;MSFT.O&lt;/A&gt; said on Friday.",115,Entertainment
"28 Identity Theft Suspects Arrested in Transatlantic Sting Law enforcement authorities on both sides of the Atlantic have arrested 28 people on suspicion of operating Web sites that were allegedly designed to steal, sell and forge credit cards and identification documents.",49,Entertainment
"Dillard #39;s Posts Narrower 2Q Loss Dillard #39;s Inc. posted a narrower second-quarter loss Wednesday due to cost cutting, but missed Wall Street expectations by a whopping 15 cents per share. ",53,Technology
"Global Wi-Fi Access Deal Makes World Wireless Agreement creates instant access to 20,000 wireless hotspots in 11 countries.",30,Entertainment
"F.C.C. Approves Cingular Deal to Buy AT T Wireless Under the deal, the Federal Communications Commission will require Cingular to sell part of the combined company's operations in 22 markets.",45,Technology
"Dream in the tank ATHENSIt was like a funeral. One by one they came to pay their respects to Alexandre Despatie, widower of an Olympic dream to which he #39;d been married since childhood.",47,Sport
"Oil Bubbles Over \$55 a Barrel  LONDON (Reuters) - Oil prices forged to a record high above  \$55 a barrel on Friday on rising fears of a winter fuel supply  crunch and robust economic growth in China, the world's number  two user.",57,Technology
Opera Lands on Windows Mobile (PC World) PC World - Alternative browser will be available on portable devices running Microsoft's OS.,27,Entertainment
"Google reduces IPO price range; SEC approval awaited NEW YORK, August 18 (New Ratings)  Google Inc has reportedly reduced its expected IPO price range to \$85-\$95 per share, from the previously expected price range of \$108-\$135 per share. The company is unlikely to price its shares until the market closes ...",75,Technology
"China #39;s Hu takes over armed forces in flux Chinese Communist Party chief Hu Jintao has taken command of the world #39;s largest military, inheriting the challenge of transforming a 2.5-million-strong force long bent on making money into a world-class war machine.",65,Politics
"Ricky Williams Seeks Return with Dolphins _ Oct. 6, 2004 - Ricky Williams is looking to make a comeback with the Miami Dolphins. But there #39;s a catch -- a little something about a positive drug test.",52,Sport
"Cycling: Jimenez Wins 10th Stage of Tour of Spain Spanish cyclist Eladio Jimenez has won the 10th stage of the Tour of Spain, while American Floyd Landis retained the leader #39;s yellow jersey for a third day in a row.",55,Sport
Nepal troops face 'abuse' charge The US-based Human Rights Watch says both Nepalese troops and Maoist rebels are responsible for civilian killings and abductions.,34,Politics
Red-Footed Falcon Sighted in Mass. (AP) AP - A red-footed falcon spotted for the first time in North America is enticing birdwatchers to Martha's Vineyard.,39,Entertainment
"Breakthrough in hydrogen fuel research Dr Joseph Hartvigsen (L) of Ceramatex, Inc, holds a fuel cell during a news conference Nov. 29 at Ceramatex Advanced Materials  amp; Electrochemical Technologies in Salt Lake City.",49,Entertainment
"Manufacturing grows; construction up; sentiment down The latest round of economic data was again mixed, reports showed Friday: Manufacturing activity increased in September for the 16th consecutive month and construction spending surged in August to a record high.",47,Technology
