prompt,prompt_len,target
The arrests revealed new details about the four-month investigation at Selenski 's Mount Olivet Road home . | Kerkowski and Fassett 's bodies were unearthed at Selenski 's Mount Olivet Road home on June 5 .,50,0
They face charges of robbery and criminal impersonation of a police officer . | All five suspects were charged with robbery and criminal impersonation of a police officer .,32,1
"Rosenthal declined comment on the Garrett situation Tuesday but said in a statement : "" We had a big contract negotiation . | The show 's creator and executive producer , Phil Rosenthal , quipped in a statement : "" We had a big contract negotiation .",51,0
""" His advice to the House Republicans is to pass it , to send it to him , so he can sign it . "" | The president 's "" advice to the House Republicans is to pass it , to send it to him , so he can sign it , "" said White House spokesman Ari Fleischer .",63,1
""" Prime Minister Abbas , we are facing a new opportunity today , a better future for both peoples , "" Israeli Prime Minister Ariel Sharon said after Tuesday 's meeting . | "" Prime Minister Abbas , we are facing a new opportunity today , a better future for both peoples , "" Mr Sharon said .",60,1
"BellSouth also added 654,000 net long-distance customers in the third quarter . | BellSouth added 111,000 DSL customers during the quarter to reach a total of 1.3m subscribers .",52,0
"Duque will return to Earth Oct. 27 with the station 's current crew , U.S. astronaut Ed Lu and Russian cosmonaut Yuri Malenchenko . | Currently living onboard the space station are American astronaut Ed Lu and Russian cosmonaut Yuri Malenchenko .",59,0
"My view is these al-Qaeda terrorists - and I believe it was al-Qaeda - would prefer to have many such events . "" | "" My view is that these Al Qaeda terrorists -- and I believe it was Al Qaeda -- would prefer to have many such events . """,56,1
"The total number of new cases in China was fewer than 100 for the third day in a row . | On Monday , the number of SARS cases in China passed 5,000 , hitting a total of 5,013 .",54,0
Germans account for more than 40 percent of foreign visitors coming to Italy . | Germans represent more than a quarter of all foreign visitors to Italy and 40 percent of hotel bookings .,40,0
"Hoy confirmed the woman 's age Tuesday and said she has left on vacation with her family . | Hoy confirmed the woman 's age Tuesday and said she was on vacation with her family , but is expected to return this week .",47,0
"This means Berlusconi will be safe from prosecution until he leaves elected office , scheduled for 2006 . | This means Berlusconi will be safe from prosecution until his term ends in 2006 , unless his government falls before then .",52,0
""" I think you 'll see a lot of job growth in the next two years , "" he said , adding the growth could replace jobs lost . | "" I think you 'll see a lot of job growth in the next two years , "" said Mankiw .",55,0
"The technology-laced Nasdaq Composite Index .IXIC was down 27.13 points , or 1.64 percent , at 1,626.49 , based on the latest data . | The technology-laced Nasdaq Composite Index < .IXIC > declined 25.78 points , or 1.56 percent , to 1,627.84 .",87,1
"When you crossed the line , you violated the constitutional right , "" said Charles Weisselberg , a UC Berkeley law professor . | When you crossed the line , you violated the constitutional right , "" said Charles Weisselberg , who teaches law at the University of California , Berkeley .",57,1
"The two filed a lawsuit in 1998 , alleging IBM 's staff doctors never warned them that their symptoms could reflect chemical poisoning . | The two filed a suit in 1998 and allege they were never warned by IBM 's staff doctors that their symptoms could reflect chemical poisoning .",62,1
"He was listed last night in critical but stable condition at Kings County Hospital Center , police said . | That victim , a New Jersey resident , was in critical but stable condition at the hospital .",39,1
"An artist who painted a fake "" CAUTION Low Flying Planes "" sign on a building near ground zero said Tuesday that he did not mean to offend anyone . | An artist painted a sign reading ``CAUTION Low Flying Planes ' ' on a building near ground zero , angering neighbors and stirring complaints .",59,0
"Limbaugh 's lawyer , Roy Black , has accused the Palm Beach State Attorney 's Office of having political motives for investigating whether the conservative radio commentator bought painkillers illegally . | Limbaugh 's attorney , Roy Black , has accused the State Attorney 's Office of having political motives for its investigation .",62,0
"Meester , a 20-year-old sophomore , could face life in prison if convicted on charges of rape , forcible sodomy , indecent assault and providing alcohol to minors . | Douglas Meester , 20 , is charged with rape , sodomy , indecent assault , and providing alcohol to minors .",64,0
The Washington Times first reported yesterday that Army Capt. James . | The arrest was reported in The Washington Times today .,24,0
"Close behind was India , 14.3 percent , followed by Thailand and the Philippines . | The largest supplier of medicines was Canada , followed by India , Thailand and the Philippines .",38,0
"Shares of Microsoft fell 1 cent to close at $ 25.65 on the Nasdaq Stock Market . | Microsoft shares ( MSFT : news , chart , profile ) fell 1 cent to close at $ 25.65 .",52,1
GREAT train robber Ronnie Biggs was fighting for life last night after a massive heart attack . | Great Train Robber Ronnie Biggs was back in jail tonight after being treated in hospital for pneumonia .,38,0
""" I am listening to the same things I listened to 17 years ago , "" Hollings said . | Im hearing the same things I listened to 17 years ago .",38,1
"Justices Stephen Breyer , Sandra Day O 'Connor and Anthony Kennedy disagreed . | Justices Anthony Kennedy , Sandra Day O 'Connor and Stephen Breyer dissented .",34,1
Half of the women were given a daily dose of the drug and half took a placebo . | Half the women received a daily tablet of the combination oestrogen plus progestin while the rest were given a placebo .,44,1
It takes 100 of the 150 House members to conduct business . | The Texas house requires 100 of its 150 members to present in order to conduct business .,43,1
"Passenger Keith Charlton , who helped tackle the man , last night praised the efforts of the injured chief flight attendant , known to passengers as Greg . | Passenger Keith Charlton , who also tackled the attacker , praised the efforts of the injured chief flight attendant .",50,1
"He urged patience from Americans eager for the service , which is intended to block about 80 percent of telemarketing calls . | The free service was originally intended to block about 80 percent of telemarketer calls .",46,0
""" The benefit is equal for everyone , both in traditional Medicare and in the enhanced Medicare we 're setting up . "" | "" The ( drug ) benefit is equal for everyone , both in traditional Medicare and in the enhanced Medicare we 're setting up , "" Grassley said .",57,1
"In New York , $ 7,646 is spent annually on each Medicaid recipient , almost double the national average of $ 3,936 . | New York has by far the country ’ s most expensive Medicaid program , costing taxpayers $ 7,646 per recipient , almost double the national average of $ 3,936 .",75,0
"Rep. Dan Gelber , D-Miami Beach , argued that the freeze is for only a few months . | Rep. Dan Gelber , D-Miami Beach , said the bill won 't freeze rates as its supporters claim .",48,0
"Tyco later said the loan had not been forgiven , and Swartz repaid it in full , with interest , according to his lawyer , Charles Stillman . | Tyco has said the loan was not forgiven , but that Swartz fully repaid it with interest , according to his lawyer , Charles Stillman .",60,1
"On Wall Street , trading resumed with some glitches from the blackout that continued to affect parts of New York City . | Stocks barely budged Friday as trading resumed with some glitches from the blackout in New York .",42,0
"Cullen is replacing former chief privacy officer Richard Purcell , who left earlier this year . | The job had been vacant since Richard Purcell left earlier this year .",32,0
""" These are dark days for our industry , "" Giovanni Bisignani , director general of the Geneva-based organization , said in a statement . | "" These are dark days for our industry , "" the Geneva-based International Air Transport Association 's Director-General Giovanni Bisignani said .",60,1
"Had the creditors turned down the bailout plan , LG Group might have been forced to close down its credit card business . | If the creditors turn down the bailout plan , LG Group may have to closedown its card business .",45,1
"AN inquest into the car crash that killed Princess Diana will be held January 6 , the royal family 's coroner announced overnight . | Inquests into the deaths of Diana , Princess of Wales and Dodi Fayed will be formally opened in the New Year , the Royal Family 's coroner announced yesterday .",62,1
"BEA Systems Inc . BEAS.O on Thursday said second-quarter profits rose 28 percent , as revenues grew amid a contracting overall market for business software . | BEA Systems Inc . BEAS.O said on Thursday second-quarter profits rose 28 percent , as revenues grew slightly more than Wall Street expected amid a contracting overall market for business software .",74,1
The board is investigating whether a shortage of funds in the shuttle program compromised safety . | The board is investigating whether this compromised safety on the shuttle .,30,1
"The rats that consumed the tomato powder had a 26 percent lower risk of prostate cancer death than the control rats , researchers found . | Rats on the tomato powder diet had a 26 percent lower risk of prostate cancer death than the control rats , allowing for diet restriction .",57,0
"The Seattle band 's groundbreaking grunge anthem is No. 1 on VH1 's list of the "" 100 Greatest Songs of the Past 25 Years . "" | See the complete list of VH1 's ' 100 Greatest Songs of the Past 25 Years .",63,0
"U.S. District Judge Denny Chin said Fox 's claim was "" wholly without merit , both factually and legally . "" | "" This case is wholly without merit , both factually and legally , "" Chin said .",46,1
"Leung , who faces a maximum of 50 years in prison if convicted , also told the judge that she understood her constitutional rights . | Smith , who faces a maximum 40 years in prison if convicted , is free on $ 250,000 bond .",59,0
The report that cost Mr Forlong his career at Sky News was screened on 29 March . | The television report that cost Forlong his career at Sky News and his wife a husband was aired on March 29 .,47,0
Kerry Kennedy Cuomo and Andrew Cuomo have been married 13 years . | Andrew Cuomo and Kerry Kennedy were married 13 years .,28,1
"The federal government is approving new pesticides without basic information such as whether they harm children , says Canada 's environment commissioner . | The federal government is approving new pesticides without even knowing whether they pose a threat to children , Canada 's environment watchdog warned yesterday .",52,1
The Federal Open Market Committee meeting gets under way on Tuesday with a monetary policy decision due on Wednesday . | The Federal Open Market Committee will end its two-day policy-setting meeting and announce its decision on Wednesday .,44,1
A view of the devastation left behind when a man drove his car through a crowded farmers market in Santa Monica on Wednesday . | The body of a victim lies under a yellow tarp in front of a car that plowed through a crowded farmers market in Santa Monica .,52,0
""" I think we should leave them as they are , "" said Lott , R-Miss . , of the current ownership rules during a Senate Commerce Committee hearing . | "" I think we should hesitate , "" Olympia Snowe , R-Maine , said at a Senate Commerce Committee hearing .",58,0
Penn Traffic filed for Chapter 11 reorganization at the end of May . | Penn Traffic entered chapter 11 bankruptcy reorganization May 30 .,31,1
"Ghulam Mahaiuddin , head of administration in the southern province of Helmand , said the bus blast happened early in the morning , west of the provincial capital Lashkargah . | The bus blast in Helmand happened early in the morning in Nadi Ali district , west of the provincial capital Lashkargah .",64,1
"Launched from the space shuttle Atlantis in 1989 , Galileo will have travelled about 4.6 billion kilometres by the time it hits Jupiter . | Launched from space shuttle Atlantis ( news - web sites ) in 1989 , Galileo will have traveled about 2.8 billion miles by the time it hits Jupiter .",69,1
He said Qantas would also cut capital spending by retiring some aircraft and deferring delivery of some new planes . | It would also further reduce capital expenditure by retiring some aircraft and delaying the delivery of new places .,42,1
"The Java Enterprise System bundles a slew of Sun software for a yearly subscription of $ 100 per employee . | For instance , the core Java Enterprise System will cost $ 100 per employee in the US .",46,0
"Against the dollar , the euro rose as high as $ 1.1535 -- a fresh four-year high -- in morning trade before standing at $ 1.1518 / 23 at 0215 GMT . | Against the dollar , the euro rose as high as $ 1.1537 , a fresh four-year high and up a half cent from around $ 1.1480 in late U.S. trade .",102,0
"To the caller who claimed to have found a mini-cassette from the space shuttle Columbia : NASA is extremely interested in talking to you , "" no-questions-asked "" . | To the Sound-Off caller who said they found a mini-cassette from the space shuttle Columbia : NASA is extremely interested in talking to you on a "" no-questions-asked "" basis .",78,1
"And "" although the preconditions for recovery remain in place , "" it said the prospects for British exports were "" weaker than previously expected . "" | "" Although the preconditions for recovery remain in place , the prospect for external demand for UK output is weaker than previously expected . """,56,1
Lord of the Rings director Peter Jackson and companion Fran Walsh arrive at the 74th Annual Academy Awards . | Lord of the Rings director Peter Jackson and longtime companion Fran Walsh .,37,0
"It will be the first handset to ship with the Smartphone 2003 version of Microsoft 's ( Nasdaq : MSFT ) Windows Mobile software , the mobile operator said . | According to the company , it will be the first handset to ship with the Smartphone 2003 version of Microsoft 's ( Nasdaq : MSFT ) Windows Mobile software .",74,1
"The shooter ran away , police said , eluding an officer who gave chase . | Police said the shooter ran away from an officer who chased him , and still was being sought Thursday night .",39,0
"Nor has it said how many astronauts will be on board , through there reportedly will be between one and three . | Nor has it said how many astronauts will be on board , through there reportedly could be as many as three .",46,1
"Sovereign , based in Philadelphia , expects to close the acquisition in the first quarter of 2004 . | Sovereign said it expects the merger to close in the first quarter of 2004 , subject to regulatory and First Essex shareholder approval .",53,0
"The broader Standard & Poor 's 500 Index .SPX ended up 1.03 points , or 0.10 percent , at 998.51 , ending at its highest since late June 2002 . | The broader Standard & Poor 's 500 Index .SPX was off 1.67 points , or 0.17 percent , at 995.81 .",97,0
"Ryland Group ( nyse : RYL - news - people ) , a homebuilder and mortgage-finance company , sank $ 9.65 , or 11.6 percent , to $ 73.40 . | Swedish telecom equipment maker Ericsson ( nasdaq : QCOM - news - people ) jumped $ 2.88 , or 15.7 percent , to $ 21.28 .",92,0
Results from No. 2 U.S. soft drink maker PepsiCo Inc . PEP.N were likely to be in the spotlight . | Results from No. 2 U.S. soft drink maker PepsiCo Inc . ( nyse : PEP - news - people ) were likely to be in the spotlight .,65,1
"The total number of new cases in China was fewer than 100 for the third day in a row . | On Monday , the number of SARS cases in China passed 5,000 , hitting a total of 5,013 .",54,0
The United States and Russia have spent billions since the 1960s on a handful of space craft designed to land on Mars . | The United States and Russia spent billions on a dozen or so robotic craft meant to land on Mars and radio back their findings .,55,1
"As well as the dolphin scheme , the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls . | Internal chaos has allowed foreign companies to set up damaging commercial logging and fishing operations without proper monitoring or export controls .",52,0
"That compares to a net loss of $ 6.6 million , or 47 cents per share , on revenue of $ 15.5 million in 2002 's second fiscal quarter . | In the first quarter , SCO had reported a net loss of $ 724,000 , or 6 cents per diluted share , on revenue of $ 13.5 million .",87,0
""" It 's just too important to keeping crime down , "" he said of Operation Impact , which began Jan. 3 . | "" It 's just too important to keeping crime down in the city to let it lapse , "" the mayor said of Operation Impact .",55,0
"His lack of co-operation was allowing other Jemaah Islamiah fugitives to remain at large , Mr Dila told the court . | His lack of co-operation was allowing other JI operatives to remain at large , where they threatened further terrorist acts , Mr Dila said .",58,0
"Only 12 of the last 30 attempts to reach Mars have succeeded ( two are in transit ) . | Of about 30 attempts to reach Mars , only 12 missions have succeeded .",43,0
"On Monday , the Dow declined 5.25 , or 0.1 percent , at 8,983.80 , having shed 2.3 percent last week . | In early trading , the Dow Jones industrial average was down 39.94 , or 0.4 percent , at 8,945.50 , having slipped 3.61 points Monday .",88,1
"Fifty-seven senators , including 24 Republicans , have signed the letter . | Of those who signed the letter , 57 are senators , including 24 Republicans .",37,1
It is almost certain to exacerbate the bitter divisions between Washington and Europe that have not abated since the end of the war in Iraq . | It is almost certain to exacerbate the divisions between Washington and Europe that emerged before the war in Iraq .,49,1
Officials said all three would be charged with conspiracy to commit murder . | All three of the teens were charged with offenses including conspiracy to commit murder .,30,1
"Joan B. Kroc , the billionaire widow of McDonald 's Corp. founder Ray Kroc , died Sunday after a brief bout with brain cancer . | Joan B. Kroc , the billionaire widow of McDonald 's founder Ray Kroc known for her philanthropy , died Sunday of brain cancer .",60,1
Dos Reis is scheduled to be sentenced in Danbury Superior Court this morning on charges of first-degree manslaughter and second-degree sexual assault . | Saul Dos Reis is scheduled to be sentenced in Danbury Superior Court for the death of Christina Long .,50,0
"The stock closed Friday at $ 5.91 , down $ 1.24 , or 17 percent , on the Nasdaq Stock Market . | Shares of Brocade closed at $ 5.91 , down $ 1.24 , or 17.3 percent .",63,1
"The U.S. military on Dec. 2 began a large-scale sweep , dubbed Operation Avalanche , targeting the south and east of the country , where Taliban activity has been highest . | Since Dec. 2 the U.S. military has been engaged in a large-scale sweep , dubbed Operation Avalanche , targeting the south and east of the country .",74,0
Stanford ( 46-15 ) takes on South Carolina today at 11 a.m. in the first game of the College World Series . | Stanford ( 46-15 ) plays South Carolina ( 44-20 ) on Friday in the opening game of the double-elimination tournament .,68,1
Seven Air Force Academy cadets face punishment for allegedly drinking with two high school girls . | Seven Air Force Academy cadets face punishment for drinking with two high school girls in the latest incident to embarrass the academy .,41,0
