prompt,prompt_len,target
leave notification not reaching sent monday annual leave requests hi submitted today below leave requests haven reach line manager could you please check where did go thank you upcoming holiday,31,HR Support
urgent please restore access on the one com as had on old sent saturday urgent please restore access one had old blocks progress completing some presentations for client visit starting importance high dear please access one had old able access pages pages or location had access old need access one because need prepare some presentations for client visit starting monday afternoon able make any progress one example say client story was unable complete presentations because we had problem with migration thank you best regards agile manager next annual leave february,91,Hardware
internal audit forbidden software friday pm forbidden software hi checked report forbidden software please find report looks colleagues filter having games based file sharing file store clients installed assets please reminder ask these forbidden please keep mind has thanks,40,Administrative rights
confluence site for tuesday july pm confluence site hi confluence site similar which review please let how arrange regards performance testing consultant,24,Access
badge access to area after pm tuesday march badge after pm hello please provide badge working center floor thank kind regards,22,HR Support
access request for a site wednesday july pm site requesting links site manage setting site note site site site provides central storage collaboration information ideas site tool collaboration tool communication meeting tool decision making site helps groups work teams social groups share information work together example site help coordinate calendars schedules discuss ideas review proposals share information keep touch other,61,Hardware
ram upgrade request tuesday upgrade hello teams upgrades lap tops additional order perform related testing please organize upgrade thanks,20,Hardware
conference room issue sent thursday december old installed dear please log ticket for we encountered problems meeting using we decided install we had installed en meeting room ex unfortunately unable call good luck engineer,35,Hardware
new starter access card enabling thursday october starter form ext,11,HR Support
  wednesday pm hi purchase has made requested by rack fan cooling unit please log two tickets installed thank administrator phone,23,Purchase
disable access card disable card hello please disable card card storage room member added required kind regards engineer ext,20,Access
oracle fusion service purchase requests completed thursday pm re purchase requests completed hi please add third column natural automatically assigned each category kind regards administrator thursday pm purchase requests completed importance high dear please informed categories improvement exercise has finalized find attached categories descriptions which help submitting requisitions greater ease encounter issues categories please hesitate contacting thank understanding ext hub tuesday purchase requests importance high dear currently rolling out categories improvement exercise encounter error messages purchase requests back updates also categories follow shortly questions encounter errors please hesitate thank best regards ext hub,95,Purchase
your mailbox is almost full tuesday mailbox almost importance high hello please advise next thank tuesday mailbox almost importance high mailbox almost mb mb size maximum size please reduce mailbox size delete items mailbox empty deleted items folder registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has liability entity acts,58,Storage
wants to access account documentation wants documentation working accept decline requests,12,Storage
windows request for info re forced upgrade reminder hello upgraded station temporarily win regards friday november pm forced upgrade reminder importance high hello everyone upgraded workstation please disregard coming back announcement order inform upgrade mandatory possibility choose upgrade interval kindly asking give action possible estimated upgrade process complete approximately minutes please announcement attached file after proceed upgrade starting forced upgrade means upgrade process automatically workstation stop process assets upgraded date forced upgrade take notified least two times please understand responsibility backup files important note dependency remain version please notify possible workstation having less than free please article more information kb view article kb subscription store files please make files completely synchronized unlinking subscription please kb article more kb view article kb thank kind regards ext,127,Administrative rights
approval flow oracle cod flow cod bun cod ca care se care la mine,15,Hardware
local help for for christmas party thursday december pm christmas party help hi christmas party technical projector location prepare technical checks location etc party tomorrow please appoint locally help thank head,32,Internal Project
request for support report with all the expenses needed hi kindly ask guidance order report logged code july october period exist report feature highly appreciated treat high priority thank,30,Internal Project
update list update hello please she part thank senior software developer,12,Administrative rights
create shared mailbox tuesday pm hello please assist thanks kind regards infrastructure thursday pm puzzles la ca si puzzles si si riddles technical challenges si va se,28,Storage
wants to share start up trainings with and wants share trainings want share trainings accept decline requests,18,Storage
annual leave approval requests thursday october pm annual leave requests hi guys please investigate receiving approvals assigned codes working these accounts far removed thanks client,26,HR Support
add user to add user hello please add user details name machine name kind regards senior developer,18,Access
loose battery on battery laptop does fully click into place laptop powers off if hold battery if walk around with laptop,22,Hardware
