prompt,prompt_len,target
Waiting for Eden,4,book
I Gotcha,4,song
A Tale for the Time Being,7,book
Manwa Laage,5,song
Playing It My Way,5,book
Twilight,2,book
Down 4 U,5,song
Before the Worst,4,song
Five Easy Pieces,4,movie
Up Jumped a Swagman,7,movie
Click,2,song
The Horror of It All,6,movie
Famous,2,song
Something So Right,4,song
Immortal Megamix:Can You Feel It/Don't Stop 'Til You Get Enough/Billie Jean/Black or White(Immortal Version),31,song
Fanfares of Love,5,movie
The Wind Will Carry Us,6,movie
Gerald McBoing-Boing,8,movie
How Do You Sleep?,6,song
Haunted Mouse,3,movie
Padam Onnu: Oru Vilapam,9,movie
You Haven't Done Nothin',9,song
Water for Elephants,4,book
Ravelstein,3,book
The Ambushers,5,movie
Identify,2,song
Who Is It,4,song
The Light of Other Days,6,book
The Penitent,4,movie
The Book of Lies,5,book
"Liars, Leakers, and Liberals: The Case Against the Anti-Trump Conspiracy",18,book
Suicide Blonde,3,song
Susan's House,5,song
Whirlpool,3,movie
(A Friendship That Changed Our Minds),9,book
Dance with You (Nachna Tere Naal),11,song
The Lighthouse,3,book
Buddy's Song,5,book
Yesterday,2,movie
Jaan Tere Naam,5,movie
Storm Warning,3,book
Polyamorous,4,song
LAPD '53,6,book
5:15,5,song
My Sister's Keeper,6,book
The Dark Tower:,5,book
Khartoum,4,movie
Two Hearts,3,song
Storm Warning,3,book
The Lazarus Project,4,book
Yug Dekhi Yug Samma,9,movie
The Women,3,book
Sunghursh,4,movie
She's My Kind of Rain,8,song
Anna and the French Kiss,6,book
If I Did It,5,book
Christopher Columbus: The Discovery,6,movie
The Great War: Breakthroughs,7,book
Closed on Sunday,4,song
Long Distance Runaround,5,song
A Patriot's History of the United States,10,book
The Thirteenth Tale,4,book
Nemesis 2: Nebula,7,movie
Blue,2,song
Clandestino,4,song
Abusadora,4,song
Edges of the Lord,5,movie
Ek Nazar,3,movie
Distance,2,movie
Crazy for You,4,song
Barocco,3,movie
The Lonely Lady,4,movie
Blue Labyrinth,3,book
Beneath the Neon,4,book
Divine Madness,3,book
Malcolm X: A Life of Reinvention,9,book
Sex & Drugs & Rock & Roll,8,song
Ek Nazar,3,movie
Cela s'appelle l'aurore,9,movie
Worldwar: Upsetting the Balance,8,book
Hammered,3,book
Buck Rogers: A Life in the Future,9,book
The Emerald Atlas,4,book
Ermo,3,movie
White Lines (Don't Don't Do It),13,song
Deathstalker II: Duel of the Titans,9,movie
Darkwing,3,book
Treasure Hunt,3,movie
The Leftovers,4,book
The Dark Tower:,5,book
Diamonds on Wheels,4,movie
Show You Love,4,song
Raqeeb: Rivals in Love,8,movie
Color Esperanza,3,song
Carry On Teacher,4,movie
À contre-courant,6,song
Carry On Cowboy,4,movie
The Knife That Killed Me,6,movie
The Visual Bible: Matthew,6,movie
Carry On Girls,4,movie
Fall Again,3,song
Today My World Slipped Away,7,song
Surviving Picasso,3,movie
Between the Sheets,4,song
Oranges Are Not the Only Fruit,8,book
Changes,2,movie
Bobby,2,movie
The Abduction Club,5,movie
Far Away,3,song
Extra Credit,3,book
Sweet Talkin' Woman,6,song
Ladki,3,movie
Somebody's Knockin' on My Door,10,song
Eidee Kadaida,6,movie
I Aim at the Stars,6,movie
Only Happy When It Rains,6,song
Earth Is Room Enough,5,book
Move Under Ground,4,book
(Narayama-bushi Ko),9,movie
Double Bubble Trouble,4,song
Voices,2,movie
War Party,3,movie
Rewired: The Post-Cyberpunk Anthology,10,book
Pool Party!,4,song
Itchycoo Park,5,song
Gadigal Land,5,song
I Need You,4,song
Ground Zero,3,movie
City Lights,3,song
The Cure,3,song
Gregor the Overlander,5,book
Hridoyer Kotha,6,movie
All-American Murder,5,movie
Avilion,3,book
Grand Theft Parsons,4,movie
Dansevise,4,song
The Time Is Now,5,song
Absolute Power,3,book
Crest of Betrayal,5,movie
Union Leader,3,movie
Better,2,song
Tears,2,song
Nocturnal,3,book
The Ambushers,5,movie
Cowards Bend the Knee,6,movie
Warcross,3,book
More Myself: A Journey,6,book
Blessed,2,song
Jisatsu Saakuru: Kanzenban,10,book
Buck Rogers: A Life in the Future,9,book
Yellow,2,song
Don't Make Me,6,song
Fire World,3,book
Tea in the Sahara,5,song
The “Priest” They Called Him,8,song
Rise of the Ogre,5,book
Stand Beside Me,4,song
La Luna di Carta,5,book
Drop the Pilot,4,song
Woman on the Night Train,6,movie
Song Reader,3,book
Drop It on Me,5,song
I'm a Loser,6,song
Mask of the Avenger,5,movie
Allari Bullodu,5,movie
The Big Short: Inside the Doomsday Machine,10,book
Surviving Picasso,3,movie
The Pluto Files,4,book
The Theoretical Minimum,4,book
The Broken Sword,4,book
Vroom,3,song
No Ashes in the Fire,6,book
Vishnu,3,movie
The Twin,3,movie
Physical,2,song
Oye,2,song
Renegades,4,song
Dark Purpose,3,movie
The Absent Author,4,book
Ballistic Kiss,4,movie
The Dangerous Days of Daniel Xtraterrestrial,10,book
Something New,3,song
Praja,3,movie
Konstantine,3,song
Your Witness,3,movie
The Restraint of Beasts,6,book
Death Wish 3,5,movie
Better Days (And the Bottom Drops Out),10,song
Manam,3,movie
New Americana,3,song
Cujo,3,movie
waydowntown,3,movie
Ooh La La,4,song
Gargoyle: Wings of Darkness,7,movie
About a Girl,4,song
Seize the Day,5,book
Hello Brother,3,movie
Anathem,4,book
The White Princess,4,book
Sins of Empire,5,book
Stick,2,movie
The Yankee Years,4,book
Uncertainty,2,movie
Yolki,4,movie
The Cabinet of Curiosities,7,book
Whatcha Gonna Do with a Cowboy,8,song
Elita,3,song
Liberation,3,movie
The Knife That Killed Me,6,movie
I'll Follow the Sun,7,song
The Truth About Charlie,5,movie
Pearl Harbor:,4,book
Spanish Affair,3,movie
Waiting for the Sirens' Call,8,song
The Tree of Wooden Clogs,7,movie
Circles,2,song
Snow Cats,3,song
Next Floor,3,movie
Il ladro di merendine,8,book
(Pane e cioccolata),7,movie
It's a Wonderful World,7,movie
Greatest the Hits 2011–2011,14,song
A Kind of Loving,5,movie
(Interno Berlinese),8,movie
Ta Ra Rum Pum,5,movie
Le Marginal,3,movie
Dare You to Move,5,song
Plague Ship,4,book
Katha,3,movie
Pretty Savage,3,song
The Invisible Maniac,5,movie
"Liars, Leakers, and Liberals: The Case Against the Anti-Trump Conspiracy",18,book
Lilies,3,movie
Legacy (Eight EP),6,song
This Boy's Fire,6,song
Wilco: Learning How to Die,8,book
The Lords of the North,6,book
V. I. P,6,movie
Dragon in Jail,4,movie
The West Point Story,5,movie
Let It Snow: Three Holiday Romances,9,book
Talking to Strange Men,5,book
Journeys with George,5,movie
Superwoman (Where Were You When I Needed You),12,song
Fight the Power,4,song
Me Talk Pretty One Day,6,book
All the Weyrs of Pern,7,book
Clouds,2,song
You da One,4,song
Forks,3,book
Mrs. Soffel,6,movie
Candle of Life,4,song
View from a Bridge,5,song
A Sheep in the Deep,6,movie
Rogue Lawyer,3,book
Barney Bear,3,movie
La Nuit des Traquées,6,movie
(Are You) The One That I've Been Waiting For?,15,song
Without You,3,song
Persuader,4,book
Upgrade U,3,song
Who Was That Lady?,6,movie
Right Now,3,song
Principles of Corporate  Finance,6,book
Crazy Thing,3,song
American Shows of All Time,6,book
Screaming Eagles,4,movie
In Your Room,4,song
In My Pocket,4,song
The New Annotated Sherlock Holmes,6,book
The Theoretical Minimum,4,book
Buli,3,movie
Liberal Fascism,3,book
Ain't No Doubt,6,song
Nobody's Fool,5,song
Bed of Roses,4,movie
Hells Bells,4,song
You Don't Know,6,song
We Have Always Lived in the Castle,8,book
The Fall,3,book
Sri Krishnavataram,6,movie
The Art of Fiction,5,book
Germany in Autumn,4,movie
The Trouble with Spies,5,movie
Sucker's Portfolio,6,book
After the Hole,4,book
I Like You So Much Better When You're Naked,12,song
I Love You,4,song
The Pluto Files,4,book
Celebrate the Day,4,song
The Kingdom of Gods,5,book
Hearts Like Ours,4,song
Blood and Smoke,4,book
Johnny Cool,3,movie
Deadline,2,movie
Cinema,2,song
Aayat,3,song
Worldwar: Upsetting the Balance,8,book
The Colorado Kid,4,book
Aural Psynapse,6,song
I Got the Blues,5,song
Never Take Sweets from a Stranger,7,movie
Say Nada,3,song
The Profane Exhibit,5,movie
Jonaki,3,movie
Mohra,3,movie
The Entity,3,movie
Moving,2,song
(The Art of Winning an Unfair Game),11,book
Ready to Go,4,song
La Reine Margot,4,movie
Chasing the Sun,4,song
Mounam,3,movie
Spike and Tyke,5,movie
The Lost World,4,book
Disappearing Earth,4,book
Private,2,book
I Don't Believe You (She Acts Like We Never Have Met),16,song
The Magic Riddle,4,movie
Song to Say Goodbye,5,song
Bullet,2,book
When I Kissed You,6,song
Looney Tunes Golden Collection: Volume 2,10,movie
Anantha Poongatre,6,movie
Ribsy,3,book
I Wish,3,song
Carry On Emmannuelle,6,movie
The Neutronium Alchemist,5,book
Peeps,3,book
Hello Taxi,3,movie
Steve Jobs,3,book
Sucker's Portfolio,6,book
Hello Brother,3,movie
The New Centurions,6,book
Calamity Jane,5,movie
Everything Counts,3,song
Numbers,2,song
The Crowded Day,5,movie
Sucker's Portfolio,6,book
Fat,2,song
Gone,2,song
Not Going Home,4,song
So I Can Have You Back,7,song
The Great War: Breakthroughs,7,book
East Bound and Down,5,song
Separated,2,song
"I, Robot",4,book
Doing That Scrapyard Thing,7,song
I Get Around,4,song
Wild Side,3,movie
All I Ask of You,6,song
Lullaby of Broadway,5,movie
The Last Tycoons: The Secret History of Lazard Frères & Co,17,book
Souvenirs d’en France,7,movie
Dav Pech,3,movie
Sivaranjiniyum Innum Sila Pengalum,10,movie
The Wind Blows,5,song
Every Heart a Doorway,6,book
Bleeding Out,3,song
Kaalamellam Kadhal Vaazhga,11,movie
Blaze,2,book
The Camel Club,4,book
Talk to Me,4,song
Beauty's Exotic Dance: Torture!,9,movie
