prompt,prompt_len,target
Revolutionizing Education: The Rise of Online Learning Platforms,11,factual
Climate Change Accelerates: Urgent Need for International Action,11,factual
The Secret Ingredient to the World's Most Successful Startups (It's Not What You Think!),21,clickbait
Artificial Intelligence in Healthcare: Revolutionizing Patient Care,10,factual
The Future of Transportation: Electric Vehicles and Autonomous Driving on the Rise,14,factual
Astronomers Have Found an Alien Planet Just Like Our Own! What Does it Mean?,18,clickbait
The Dark Side of Social Media: A Stunning Expose on Its Impact on Mental Health,18,clickbait
Understanding the Impact of Climate Change on Polar Bears,10,factual
Exclusive Report: Government Secrets Revealed that Will Change Your Life Forever!,14,clickbait
Understanding the Global Economy: How Trade Wars Affect Everyday Lives,12,factual
The Rise and Impact of Cryptocurrency on Global Economies,10,factual
The 'Impossible' Photo That Just Happened - Witnesses Say Otherwise,13,clickbait
Exclusive Sneak Peek: A Future Tech That Will Make Your Current Gadgets Obsolete!,17,clickbait
The Secret to the World's Most Extraordinary Success Story Revealed!,14,clickbait
The Rise of Remote Work: How Millions Have Transitioned into a Digital Nomad Lifestyle,17,factual
The Secret to the Richest Man's Success Unveiled – Never Happened!,17,clickbait
Climate Change Accelerates: The Most Recent IPCC Report's Findings on Global Warming,17,factual
Scientists Finally Crack the Code of Immortality - Here's How You Can Join the Club!,20,clickbait
Parents Beware: This Common Household Item Is Hiding Dangerous Secrets!,13,clickbait
The Ultimate Guide to Unlocking the Mystery of 'XYZ' and Why It Matters to Everyone!,20,clickbait
Healthcare Advancement: COVID-19 Vaccine Rollout Hits New Milestone,14,factual
Tech Giants' Role in Data Privacy and Security Concerns,11,factual
How to Communicate With Animals: The Shocking New Research!,13,clickbait
The Rise of Plant-Based Diets and Its Effect on the Food Industry,16,factual
Innovative Urban Farming Techniques Promising a Greener Tomorrow,11,factual
Renowned Scientist Discovers New Element on the Periodic Table,12,factual
Scientists Discover a New Planet Where Time Moves Backward!,11,clickbait
Understanding Climate Change: Scientists Warn of the Impending Crisis,12,factual
Advancements in CRISPR-Cas9 Gene Editing: Ethical Considerations and Future Prospects,16,factual
Quantum Computing Breakthroughs Paving the Way for Future Technology,11,factual
Cryptocurrency Regulation: Governments Worldwide Grapple with Digital Money,12,factual
Understanding the Human Genome Project's Legacy and Future Prospects,12,factual
The Secret Place Nobody Talks About That Will Shock You!,12,clickbait
Scientists Discover New Species of Deep-Sea Octopus,10,factual
You Won't Believe What This Celebrity Just Discovered About Their Own House!,16,clickbait
You Won't Believe What Happens When You Eat This Weird Berry!,15,clickbait
Revolutionizing Transportation with Hyperloop Technology,8,factual
This Incredible Discovery Could Change Everything We Know About The Universe!,13,clickbait
Understanding the Blockchain Revolution: How Cryptocurrencies are Changing Finance,12,factual
Breaking News: International Space Station Astronauts Conduct Extravehicular Activity (EVA),18,factual
Shocking Discovery: The Secret to Eternal Youth Revealed by Scientists!,14,clickbait
Is This Real? A Town Where Time Seems to Stand Still - Uncover the Mystery!,19,clickbait
Parents Beware: This Common Household Item is Dangerous for Children - But Did You Know?,18,clickbait
Scientists Discover Earth-Shattering Cosmic Event That Changed History!,13,clickbait
A Celebrity's Life-Threatening Secret Will Leave You Astonished! Find Out Inside.,20,clickbait
New Study Reveals Potential for Alzheimer's Disease Treatment Using Nanotechnology,13,factual
You Won't Believe What This Town Found After Decades of Neglect!,16,clickbait
Unveiling of New Electric Vehicle: The Future is Green,13,factual
Economic Forecasting with Big Data Analytics: Predicting Market Trends,11,factual
Artificial Intelligence in Medicine: Enhancing Diagnosis and Treatment Processes,11,factual
Exploring the Deep Sea: Recent Discoveries in Marine Biology,12,factual
Is Your Childhood Toy Causing More Harm Than You Think? The Shocking Truth Revealed!,19,clickbait
The Rise of Plant-Based Diets and Its Effects on Global Food Markets,16,factual
Experts Say This Common Habit Is Ruining Our Ability to Remember Things!,15,clickbait
Breaking News: The Secret Government Experiment That Changed Our World Forever.,14,clickbait
Revolutionizing Healthcare: AI-Powered Diagnostic Tools Show Promising Results,14,factual
Scientists Just Discovered a New Planet that Challenges Everything You Know About Space!,15,clickbait
The Shocking Truth Behind The World's Most Elusive Phantom Island!,16,clickbait
Exclusive: The Government Has Been Concealing Something Big About Our World!,15,clickbait
Innovations in Green Energy: The Future of Sustainable Power,12,factual
Breakthrough in Quantum Computing: Achieving Fault-Tolerant Quantum Error Correction,15,factual
Egyptian Mummies Hold the Key to Modern Medicine - What Scientists Have Discovered!,16,clickbait
Advancements in Renewable Energy Sources and Their Global Impact,11,factual
10 Surprising Facts About How Ants Communicate in Code,12,clickbait
Exploring Mars: Latest Discoveries by NASA Rover,10,factual
You Won't Believe What This Celebrity Did Over Summer!,13,clickbait
Exploring Mars: Latest Discoveries from NASA's Perseverance Rover Mission,14,factual
Elderly Man Discovers a Lost World Under His Garden – It's the Real-Life Indiana Jones Story!,24,clickbait
NASA's Perseverance Rover Discovers Ancient Martian Riverbed,12,factual
Major Retailer Adapts to Changing Consumer Demands Amid Pandemic,11,factual
You Won't Believe What This CEO Did! Uncovering Shocking Corporate Secrets Inside,18,clickbait
A Town Where No One Dies - The Mystery of the Immortal Village Explained!,16,clickbait
Breaking: The Lost City Found Beneath the Ocean's Depths!,15,clickbait
The Secret Ingredient in Local Pasta Recipe Has Changed Eating Habits for Good!,15,clickbait
The Unexpected Side Effect of a Popular App That You Need to Know About!,16,clickbait
Breaking News: The New Global Language Takes Over!,11,clickbait
Medium Article: How to Build a Sustainable Garden at Home,12,factual
The Future of Work: How Remote Employment is Reshaping Businesses,13,factual
Shocking Discovery Inside an Antique Dresser - A Mystery Unfolds Before Your Eyes!,18,clickbait
Unlocking the Code to Eternal Youth - A Breakthrough That Will Change Everything!,16,clickbait
You Won't Believe What This Celebrity Just Discovered About Their Best Friend!,16,clickbait
Tech Whiz Discovers a Revolutionary Gadget That Could Replace All Your Electronics - Forever!,18,clickbait
Astronomers Discover a New Exoplanet in the Goldilocks Zone of Its Star System,19,factual
