prompt,prompt_len,target
The following is a multiple choice question. Context: cameron was a concerned pet owner so he took his cat to the veterinarian.| Question: How would Cameron feel afterwards?| Option A: sad| Option B: calm| Option C: a good pet owner. The correct answer is ,59,3
The following is a multiple choice question. Context: Quinn took toys away from Jesse because Jesse kept disobeying the rules that Quinn had set.| Question: How would Jesse feel as a result?| Option A: happy about the toys| Option B: happy with Quinn| Option C: sad about the toys. The correct answer is ,69,3
The following is a multiple choice question. Context: Kendall saw three deer while they were hunting. They killed every deer.| Question: Why did Kendall do this?| Option A: keep killing deer| Option B: cook the deer| Option C: eat the meat. The correct answer is ,60,3
The following is a multiple choice question. Context: Taylor brought Riley to the school and he brought her into the cafeteria for the dance.| Question: What will Taylor want to do next?| Option A: dance with Riley| Option B: he brought her into the cafeteria| Option C: rent a movie. The correct answer is ,68,1
The following is a multiple choice question. Context: Bailey had nothing to do and so they watched television all day.| Question: Why did Bailey do this?| Option A: watch various programs on TV| Option B: take a nap| Option C: kill time. The correct answer is ,60,3
The following is a multiple choice question. Context: Tracy adopted a child because she thought there were a lot of orphans who could use a home.| Question: Why did Tracy do this?| Option A: check on children| Option B: have a home| Option C: be empathetic. The correct answer is ,64,3
The following is a multiple choice question. Context: Jan moved from place to place when he was a young child.| Question: What will Jan want to do next?| Option A: be happy| Option B: explore them| Option C: stay at home. The correct answer is ,59,3
The following is a multiple choice question. Context: Sydney was relived and future endeavored at their job after a decision was made.| Question: What's going to happen to the others?| Option A: was deserving of losing their job| Option B: sympathy towards Sydney for losing their job| Option C: be happy. The correct answer is ,72,3
The following is a multiple choice question. Context: Quinn reached for Taylor's hand to show him the way to the classroom.| Question: What will happen to Taylor?| Option A: be shown the way| Option B: get a snack next| Option C: go home next. The correct answer is ,64,1
The following is a multiple choice question. Context: Jan was doing an task at school and performed well.| Question: How would Jan feel afterwards?| Option A: Like they could do a good job| Option B: Good they did a good job| Option C: Like they should try their best. The correct answer is ,67,2
"The following is a multiple choice question. Context: After a long day of playing together, Kendall challenged their friend to a contest.| Question: Why did Kendall do this?| Option A: wanted to see who would win| Option B: self-conscious| Option C: wanted to be peaceful. The correct answer is ",66,1
"The following is a multiple choice question. Context: As the women continued discussing where to put the tree, Cameron put the tree down.| Question: Why did Cameron do this?| Option A: bring the tree to the women and put it in place| Option B: rest his arms until he knew where to put the tree| Option C: set down the tree in the place the women designated. The correct answer is ",86,2
The following is a multiple choice question. Context: Jesse was doing a math problem and wrote it on the board.| Question: How would you describe Jesse?| Option A: As someone trying to figure out a problem| Option B: like they impressed the teacher| Option C: As someone who thinks about doing math problems. The correct answer is ,71,1
"The following is a multiple choice question. Context: After lending a hand to their friends, Robin extended his help beyond the limits.| Question: How would Robin feel afterwards?| Option A: exhausted| Option B: excited| Option C: self-sacrificing. The correct answer is ",59,1
The following is a multiple choice question. Context: Cameron painted Carson's portrait as a gift for the wedding anniversary.| Question: How would Cameron feel afterwards?| Option A: insecure| Option B: hateful| Option C: loving. The correct answer is ,54,3
The following is a multiple choice question. Context: robin had bad experiences with her own doctors so she saw remy's doctor.| Question: What does Robin need to do before this?| Option A: hate remy's doctor| Option B: hate remy| Option C: want to go to remy's doctor. The correct answer is ,75,3
The following is a multiple choice question. Context: Robin worked hard for some overtime pay and finally bought a game they had been wanting.| Question: How would Robin feel afterwards?| Option A: Proud that they had earned enough extra money| Option B: Excited to go to the game| Option C: Proud that they had won the game. The correct answer is ,75,1
