prompt,prompt_len,target
"Calculate 3 - 64 =
A.-60 B.61 C.-62 D.-61",26,D
"Calculate 6 - 75 =
A.69 B.-68 C.-70 D.-69",26,D
"Calculate 5 * 606 =
A.3059 B.3001 C.3040 D.3030",35,D
"Calculate 80 - 710 =
A.-631 B.630 C.-629 D.-630",32,D
"Calculate 70 - 88 =
A.18 B.-18 C.-17 D.-19",27,B
"Calculate 74 - 2 =
A.65 B.72 C.79 D.82",26,B
"Calculate 8 - 457 =
A.449 B.-450 C.-448 D.-449",31,D
"Calculate 75 + 349 =
A.428 B.420 C.424 D.434",32,C
"Calculate 79 - 11 =
A.78 B.69 C.68 D.67",27,C
"Calculate 1107 / 41 =
A.28 B.27 C.26 D.37",29,B
"Calculate 52 - 41 =
A.21 B.10 C.12 D.11",27,D
"Calculate 24 - 892 =
A.-869 B.-868 C.-867 D.868",32,B
"Calculate 5 - 33 =
A.28 B.-28 C.-29 D.-27",26,B
"Calculate 7803 / 867 =
A.19 B.10 C.8 D.9",28,D
"Calculate 495 + 4 =
A.503 B.499 C.495 D.509",31,B
"Calculate 7176 / 39 =
A.184 B.182 C.194 D.186",33,A
"Calculate 771 * 37 =
A.28537 B.28527 C.28759 D.28295",40,B
"Calculate 4914 / 9 =
A.556 B.542 C.546 D.550",32,C
"Calculate 8 - 33 =
A.25 B.-26 C.-24 D.-25",26,D
"Calculate 2627 / 37 =
A.78 B.81 C.71 D.64",29,C
"Calculate 38 + 4 =
A.52 B.41 C.43 D.42",26,D
"Calculate 93 + 29 =
A.122 B.123 C.132 D.121",31,A
"Calculate 918 - 123 =
A.803 B.795 C.787 D.805",33,B
"Calculate 64 + 318 =
A.382 B.386 C.378 D.392",32,A
"Calculate 81 - 70 =
A.10 B.21 C.11 D.12",27,C
"Calculate 178 - 284 =
A.-107 B.-106 C.-105 D.106",33,B
"Calculate 29 + 159 =
A.198 B.188 C.190 D.186",32,B
"Calculate 6 * 5 =
A.31 B.40 C.29 D.30",25,D
"Calculate 533 + 9 =
A.538 B.542 C.546 D.552",31,B
"Calculate 1320 / 33 =
A.39 B.50 C.40 D.41",29,C
"Calculate 45 + 37 =
A.81 B.82 C.92 D.83",27,B
"Calculate 5 - 636 =
A.631 B.-632 C.-631 D.-630",31,C
"Calculate 32 - 52 =
A.-20 B.-21 C.-19 D.20",27,A
"Calculate 43152 / 62 =
A.706 B.688 C.704 D.696",34,D
"Calculate 252 * 414 =
A.104328 B.103401 C.104338 D.105255",45,A
"Calculate 0 - 42 =
A.-41 B.-43 C.42 D.-42",26,D
"Calculate 5 - 47 =
A.42 B.-42 C.-43 D.-41",26,B
"Calculate 78 + 1 =
A.89 B.86 C.72 D.79",26,D
"Calculate 688 / 8 =
A.96 B.86 C.87 D.85",27,B
"Calculate 324 / 54 =
A.6 B.7 C.5 D.16",25,A
"Calculate 39 + 6 =
A.46 B.55 C.44 D.45",26,D
"Calculate 97 - 17 =
A.90 B.80 C.79 D.81",27,B
"Calculate 16029 / 39 =
A.407 B.411 C.421 D.415",34,B
"Calculate 16029 / 39 =
A.407 B.411 C.421 D.415",34,B
"Calculate 57 + 37 =
A.94 B.93 C.104 D.95",28,A
"Calculate 46 - 10 =
A.46 B.36 C.35 D.37",27,B
"Calculate 3 * 4 =
A.12 B.11 C.22 D.13",25,A
"Calculate 3760 / 40 =
A.93 B.95 C.104 D.94",30,D
"Calculate 67130 / 70 =
A.967 B.959 C.951 D.969",34,B
"Calculate 74 - 18 =
A.66 B.56 C.55 D.57",27,B
"Calculate 403 - 8 =
A.399 B.395 C.405 D.391",31,B
"Calculate 80 - 14 =
A.66 B.67 C.65 D.76",27,A
"Calculate 403 - 8 =
A.399 B.395 C.405 D.391",31,B
"Calculate 2976 / 8 =
A.372 B.382 C.376 D.368",32,A
"Calculate 63360 / 640 =
A.100 B.98 C.99 D.109",33,C
"Calculate 93 + 29 =
A.122 B.123 C.132 D.121",31,A
"Calculate 782 - 843 =
A.-60 B.61 C.-62 D.-61",29,D
"Calculate 44 - 9 =
A.35 B.36 C.34 D.45",26,A
"Calculate 11704 / 152 =
A.70 B.87 C.84 D.77",31,D
"Calculate 115 * 933 =
A.108222 B.107295 C.106368 D.107305",45,B
"Calculate 461 - 170 =
A.301 B.291 C.319 D.263",33,B
"Calculate 44 + 38 =
A.82 B.92 C.81 D.83",27,A
"Calculate 481 - 67 =
A.414 B.424 C.410 D.418",32,A
"Calculate 914 * 225 =
A.207504 B.205650 C.205660 D.203796",45,B
"Calculate 110 - 243 =
A.-133 B.133 C.-132 D.-134",33,A
"Calculate 310 - 5 =
A.305 B.315 C.277 D.333",31,A
"Calculate 49 - 53 =
A.-3 B.-5 C.-4 D.4",23,C
"Calculate 3030 / 5 =
A.550 B.662 C.606 D.616",32,C
"Calculate 2 + 2 =
A.5 B.4 C.14 D.3",22,B
"Calculate 47 + 31 =
A.78 B.85 C.71 D.88",27,A
"Calculate 46 - 62 =
A.-15 B.16 C.-16 D.-17",27,C
"Calculate 5915 / 91 =
A.64 B.75 C.66 D.65",29,D
"Calculate 1 - 44 =
A.-43 B.-44 C.-42 D.43",26,A
"Calculate 22680 / 40 =
A.577 B.623 C.511 D.567",34,D
"Calculate 56 - 39 =
A.17 B.16 C.27 D.18",27,A
"Calculate 32 - 36 =
A.-3 B.-4 C.4 D.-5",23,B
"Calculate 74 + 78 =
A.138 B.152 C.162 D.166",31,B
"Calculate 9 * 8 =
A.79 B.72 C.82 D.65",25,B
"Calculate 33 + 41 =
A.84 B.81 C.74 D.67",27,C
"Calculate 1085 / 217 =
A.15 B.6 C.4 D.5",27,D
"Calculate 72 * 4 =
A.260 B.288 C.316 D.298",30,B
"Calculate 2 + 2 =
A.5 B.4 C.14 D.3",22,B
"Calculate 414 * 252 =
A.103401 B.105255 C.104338 D.104328",45,D
"Calculate 6 * 129 =
A.766 B.774 C.784 D.782",31,B
"Calculate 0 - 7 =
A.-7 B.-6 C.-8 D.7",21,A
"Calculate 163 * 391 =
A.64197 B.63743 C.63733 D.63269",41,C
"Calculate 153 + 966 =
A.1129 B.1230 C.1119 D.1008",37,C
"Calculate 25 - 1 =
A.24 B.34 C.25 D.23",26,A
"Calculate 0 - 7 =
A.-7 B.-6 C.-8 D.7",21,A
"Calculate 385 * 85 =
A.32957 B.32725 C.32735 D.32493",40,B
"Calculate 736 / 8 =
A.93 B.102 C.92 D.91",28,C
"Calculate 514332 / 819 =
A.566 B.690 C.638 D.628",36,D
"Calculate 18 / 2 =
A.8 B.9 C.10 D.19",24,B
"Calculate 3 * 148 =
A.454 B.448 C.440 D.444",31,D
"Calculate 37 + 53 =
A.90 B.91 C.100 D.89",28,A
"Calculate 7 * 38 =
A.264 B.276 C.268 D.266",30,D
"Calculate 133 * 172 =
A.23108 B.22886 C.22876 D.22644",41,C
"Calculate 22 - 11 =
A.12 B.10 C.11 D.21",27,C
"Calculate 543 * 581 =
A.315493 B.346811 C.315483 D.284155",45,C
"Calculate 27 * 756 =
A.18454 B.20412 C.20422 D.22370",40,B
"Calculate 948 * 172 =
A.163066 B.163056 C.147392 D.178720",45,B
"Calculate 98 - 53 =
A.44 B.55 C.45 D.46",27,C
"Calculate 796 * 320 =
A.256574 B.252866 C.254720 D.254730",45,C
"Calculate 527 * 210 =
A.110670 B.110680 C.111597 D.109743",45,A
"Calculate 448 * 981 =
A.435781 B.439498 C.443195 D.439488",45,D
"Calculate 86 + 2 =
A.98 B.89 C.87 D.88",26,D
"Calculate 0 * 5 =
A.-1 B.10 C.1 D.0",22,D
"Calculate 94250 / 325 =
A.318 B.290 C.262 D.300",35,B
"Calculate 3770 / 754 =
A.15 B.6 C.5 D.4",27,C
"Calculate 5 + 8 =
A.13 B.12 C.23 D.14",25,A
"Calculate 55 + 44 =
A.100 B.99 C.98 D.109",29,B
"Calculate 63 - 3 =
A.70 B.60 C.59 D.61",26,B
"Calculate 9 - 75 =
A.-66 B.66 C.-67 D.-65",26,A
"Calculate 513942 / 599 =
A.868 B.866 C.850 D.858",36,D
"Calculate 79 + 3 =
A.83 B.82 C.81 D.92",26,B
"Calculate 8450 / 325 =
A.27 B.25 C.36 D.26",30,D
"Calculate 24 + 70 =
A.104 B.95 C.94 D.93",28,C
"Calculate 7 - 48 =
A.-41 B.-40 C.41 D.-42",26,A
"Calculate 78 - 43 =
A.34 B.36 C.45 D.35",27,D
"Calculate 79 * 52 =
A.4108 B.4118 C.4137 D.4079",35,A
"Calculate 9 + 2 =
A.10 B.12 C.11 D.21",25,C
"Calculate 6 - 63 =
A.-58 B.57 C.-56 D.-57",26,D
"Calculate 4032 / 288 =
A.13 B.14 C.15 D.24",30,B
"Calculate 4 + 942 =
A.946 B.938 C.954 D.956",31,A
"Calculate 626 * 165 =
A.103290 B.104217 C.102363 D.103300",45,A
"Calculate 6 + 14 =
A.30 B.21 C.19 D.20",26,D
"Calculate 26 * 138 =
A.3617 B.3559 C.3588 D.3598",36,C
"Calculate 81 + 983 =
A.1064 B.1056 C.1074 D.1072",36,A
"Calculate 504 * 564 =
A.284266 B.312539 C.255973 D.284256",45,D
"Calculate 513 / 57 =
A.8 B.19 C.10 D.9",26,D
"Calculate 902 * 346 =
A.312102 B.312092 C.283809 D.340375",45,B
"Calculate 427 / 7 =
A.61 B.71 C.60 D.62",27,A
"Calculate 54 - 70 =
A.-17 B.16 C.-15 D.-16",27,D
"Calculate 63145 / 865 =
A.66 B.80 C.83 D.73",31,D
"Calculate 60 / 4 =
A.25 B.16 C.14 D.15",26,D
"Calculate 26 + 89 =
A.116 B.125 C.115 D.114",31,C
"Calculate 398 * 343 =
A.136514 B.137441 C.135587 D.136524",45,A
"Calculate 583 + 65 =
A.648 B.658 C.640 D.656",32,A
"Calculate 122550 / 645 =
A.200 B.192 C.188 D.190",36,D
"Calculate 9 - 20 =
A.-10 B.-12 C.-11 D.11",26,C
"Calculate 411 - 700 =
A.-289 B.-290 C.-288 D.289",33,A
"Calculate 21 + 7 =
A.29 B.38 C.27 D.28",26,D
"Calculate 8 - 25 =
A.-16 B.-18 C.17 D.-17",26,D
"Calculate 46 - 10 =
A.46 B.36 C.35 D.37",27,B
"Calculate 192 * 161 =
A.30922 B.30912 C.30680 D.31144",41,B
"Calculate 707 * 26 =
A.18392 B.16614 C.20150 D.18382",40,D
"Calculate 8 + 42 =
A.51 B.50 C.60 D.49",26,B
"Calculate 89 + 39 =
A.129 B.138 C.128 D.127",31,C
"Calculate 445 - 44 =
A.397 B.401 C.411 D.405",32,B
"Calculate 32973 / 87 =
A.379 B.389 C.383 D.375",34,A
"Calculate 5 * 5 =
A.35 B.26 C.24 D.25",25,D
"Calculate 7 - 37 =
A.-30 B.30 C.-31 D.-29",26,A
"Calculate 496 + 10 =
A.516 B.506 C.502 D.510",32,B
"Calculate 83 * 8 =
A.664 B.672 C.674 D.656",30,A
"Calculate 73 - 2 =
A.71 B.81 C.64 D.78",26,A
"Calculate 1 + 58 =
A.58 B.69 C.60 D.59",26,D
"Calculate 3 - 5 =
A.-3 B.2 C.-1 D.-2",21,D
"Calculate 82 + 59 =
A.151 B.155 C.141 D.127",31,C
"Calculate 106 / 53 =
A.2 B.3 C.12 D.1",25,A
"Calculate 57 - 4 =
A.52 B.63 C.53 D.54",26,C
"Calculate 82 + 59 =
A.151 B.155 C.141 D.127",31,C
"Calculate 24840 / 690 =
A.35 B.37 C.36 D.46",31,C
"Calculate 782 - 843 =
A.-60 B.61 C.-62 D.-61",29,D
"Calculate 268488 / 792 =
A.343 B.335 C.349 D.339",36,D
"Calculate 322 * 287 =
A.91487 B.92424 C.93341 D.92414",41,D
"Calculate 613 + 316 =
A.929 B.937 C.939 D.921",33,A
"Calculate 4 + 53 =
A.67 B.56 C.57 D.58",26,C
"Calculate 2574 / 33 =
A.71 B.88 C.85 D.78",29,D
"Calculate 21 + 7 =
A.29 B.38 C.27 D.28",26,D
"Calculate 3 - 41 =
A.38 B.-39 C.-37 D.-38",26,D
"Calculate 345 - 4 =
A.351 B.345 C.337 D.341",31,D
"Calculate 96 + 163 =
A.269 B.257 C.259 D.261",32,C
"Calculate 4 - 778 =
A.-773 B.-775 C.774 D.-774",31,D
"Calculate 8 * 8 =
A.65 B.74 C.64 D.63",25,C
"Calculate 2 * 86 =
A.182 B.170 C.172 D.174",30,C
"Calculate 254720 / 796 =
A.320 B.324 C.330 D.316",36,A
"Calculate 675 + 486 =
A.1050 B.1272 C.1161 D.1171",37,C
"Calculate 5 - 4 =
A.11 B.0 C.2 D.1",22,D
"Calculate 48 - 87 =
A.-38 B.-39 C.39 D.-40",27,B
"Calculate 100928 / 166 =
A.664 B.608 C.618 D.552",36,B
"Calculate 56 / 56 =
A.1 B.11 C.2 D.0",24,A
"Calculate 40 * 6 =
A.240 B.238 C.242 D.250",30,A
