prompt,prompt_len,target
Moderate in Iranian Election Leads in Initial Returns.,10,True
Indonesia Clamps Down on Simmering Independence Effort in Papua.,13,False
"As Iran Erupts in Protest, Tehran Is Notably Quiet.",13,True
Iran’s Divorce Rate Stirs Fears of Society in Crisis.,14,True
"With Nuclear Talks Sputtering, U.S. and Iran Plan Meeting.",17,True
"Trump Speech at U.N.: Scorn for Iran, Praise for Kim.",17,True
India’s Blast Inquiry Tests Ties to Israel and Iran.,13,True
U.S. Concedes $400 Million Payment to Iran Was Delayed as Prisoner ‘Leverage’.,23,True
E.U. Imposes Sanctions on Iran Over Assassination Plots.,15,True
China Is Excluded From Waivers for Oil Trade With Iran.,14,True
"Oil Backed Up, Iranians Put It on Idled Ships.",15,True
Iran Confirms Attack by Virus That Collects Information.,12,True
Turkish Protesters Are Still Said to Be Ailing From Tear Gas.,15,False
Justices Weigh Class-Action Limits in Arbitration Contract.,12,False
Cain Accuser Got a Year’s Salary in Severance Pay.,15,False
"Herb Goldsmith, the Man Behind the Members Only Jacket, Dies at 92.",18,False
Republican Party in California Is Caught in Cycle of Decline.,12,False
Quake Threatens to Cause Flight From Mexico City’s Hip Neighborhoods.,17,False
"Trump, Defending His Mental Fitness, Says He’s a ‘Very Stable Genius’.",19,False
Iran Tests New Version of Missiles in Exercise.,11,True
Power Struggle in Iran Enters the Mosque.,10,True
Inmate Visits Now Carry Added Cost in Arizona.,11,False
Ukraine’s Neglected and Battered Army Inspires Citizens to Pitch In.,17,False
Longer-Term Deal With Iran Faces Major Challenges.,11,True
Hong Kong Students Boycott Classes in Democracy Fight .,11,False
"G.O.P. Senator, Bob Corker, Is Key Player in Iran Accord.",20,True
"Amid White House Tumult, Pence Offers Trump a Steady Hand.",14,False
"For Cubans in Miami, the Gulf to Their Homeland Narrows.",14,False
More Federal Agencies Are Using Undercover Operations.,10,False
U.S. Sees Iran Attacks as Likely if Israel Strikes.,14,True
"Iran Lashes Out at Its Enemies, at Home and Abroad, Amid Protests.",18,True
"Ehud Barak, Israeli Hawk and No Friend of Iran, Urges Trump to Keep Nuclear Deal.",21,True
"Post-Deal Iran Asks if U.S. Is Still ‘Great Satan,’ or Something Less.",22,True
The Roots of the Delhi Riots: A Fiery Speech and an Ultimatum.,19,False
"European Talks With Iran End, Leaving Nuclear Issue Unsettled.",13,True
