prompt,prompt_len,target
"The two suicide operatives chosen were Hassan al Khamri and Ibrahim al Thawar, also known as Nibras.
What happened after the operatives were chosen?
both operatives vanished",37,yes
"Sometimes Joey gets a little dried out so Marsha's mom told her to soak him in water every few days.
How long does Joey need to soak in water?
15 minutes",39,yes
"Then they laid down on some towels and enjoyed the sun.
What did  they do after enjoying the sun?
got sunburn",27,yes
"Chernow notes how the membership soon included many of Hamilton's friends and associates.
How often do Hamilton's friends use their membership?
weekly",32,yes
"In this case he looks to his girlfriend , Violet .
When did he look at Violet?
yesterday",22,yes
"Bailey received the award for his three years of volunteer work at Indiana Pro Bono Commission.
How long was Bailey's award ceremony?
an hour",31,yes
"Mr. Barco has refused U.S. troops or advisers but has accepted U.S. military aid.
How long did it take for Mr Barco to accept military aid?
3 second",42,no
"It's hail crackled across the comm, and Tara spun to retake her seat at the helm.
How long was the storm?
the storm lasted through the early morning",37,yes
"The music , in a garage punk vein , plays an important role in the film .
What happens after the music plays in the film?
the protagonist saves another person",35,yes
"They also operate a legal arm that assists migrant workers from Texas to Kentucky.
How long does it take for migrant workers to move from Texas to Kentucky?
a few weeks",36,yes
"She ordered the tastiest kind of each vegetable and the prettiest kind of each flower.
How long did she take to decide on what to order?
1 week",34,no
"In Melaka and throughout the peninsula, Islam thrived as a strong, male-dominated religion of individuality, offering dynamic leadership and preaching brotherhood and self-reliance — all qualities ideally suited to the coastal trade.
What happened after Islam became popular in the region?
it died down",59,no
"It's hail crackled across the comm, and Tara spun to retake her seat at the helm.
What time of day was the storm?
5:00 PM",37,yes
"She explained that Frank 's father was an alcoholic and that his mother worked as a toll booth operator .
When did Frank's father become an alcoholic?
2001",38,yes
"Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained.
How long has a significant Christian minority remained?
1000 seconds",38,no
"The 9/11 plotters eventually spent somewhere between $400,000 and $500,000 to plan and conduct their attack.
What happened after the 9/11 plotters planned the attack?
the 9/11 attack happened",62,yes
"He layed down on the chair and pawed at her as she ran in a circle under it.
How long did he paw at her?
2 minutes",34,yes
"His counter-attack with Dayak warriors drove the Chinese out of Bau and across the Sarawak border.
What time did the battle end?
7:00 PM",35,yes
"Partial lunar eclipses occur at least twice a year, but total lunar eclipses are less common.
How long does an eclipse last for?
at least 30 minutes",37,yes
"Although disruption efforts around the world had achieved some successes, the core of  Bin Laden's organization remained intact.
What time of day did the organization have a meeting?
3:00 PM",42,yes
"Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island.
What happened after the Spanish found Jamaica?
they killed the arawak",59,yes
"In January 1785, Hamilton attended the second meeting of the New York Manumission Society (NYMS).
What did the attendees of the meeting do after it concluded?
they decided what to do next",46,yes
"The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks.
At what time do the wafers get placed on tracks?
2:00 PM",55,yes
"Safti at first resists , but ultimately succumbs to Edwina's charms and falls hopelessly in love with her .
How often does she charm him?
5 times an hour",38,no
"Search ""Emiliano Malaquez"" and you'll find he's a master of the ""captured moment"" school of sculpture.
How often does Emiliano Malaquez make sculptures?
every two months",43,yes
"Not that he devised flint and steel, matches, or any other way of creating fire.
How often does he light fires?
each week",30,no
"He was asked to lend his support by writing a letter, with Szilard, to President Roosevelt, recommending the U.S. pay attention and engage in its own nuclear weapons research.
How often did people write to President Roosevelt?
every day",52,yes
"The legal system marketplace just doesn't serve low-income people too well, except in fee-generat-ing type cases, Brewer said.
How often does Brewer talk about the legal system marketplace?
every second",46,no
"Over 200 Arawak sites have been identified, and it is said that when the Spanish arrived in Jamaica there were approximately 100,000 Arawak living on the island.
What happened after the Spanish found Jamaica?
they destroyed the arawak",59,yes
"In 1930, the poet Muhammad Iqbal proposed a separate Muslim homeland in the northwest of India.
How often did Muhammad Iqbal make a proposal?
every century",36,no
"Not that he devised flint and steel, matches, or any other way of creating fire.
How often does he light fires?
twice every day",31,no
