prompt,prompt_len,target
How often is the spelling bee held?,9,1
How often does the bear rest?,8,1
What happened after the grants were issued to the temples?,12,0
When did she graduate college?,7,0
How long did he paw at her?,9,0
What time was the room usually occupied?,9,0
How long did it take Cathy Wallace to grow up?,12,0
How long did the meeting last?,8,0
How often do Hamilton's friends use their membership?,12,1
What time did Malaquez receive the parcel?,10,0
How often are sediments raised?,7,1
How long does it take for her to meet with the stranger?,14,0
What day did they meet?,7,0
At what time do the wafers get placed on tracks?,12,0
How many poems has Pushkin published in total?,10,1
When did Brewer talk?,6,0
What happened after he slept?,7,0
How often does he look at Violet?,9,1
When do they play games?,7,0
How often do Oklahomans need lawyers?,10,1
What happened before he had big paws?,9,0
How many cases a month does his father work on?,12,1
How long is the air in your lungs?,10,0
How long has Frank's father been an alcoholic?,12,0
At what time did Einstein return home?,9,0
How many times a week did Wallace go to school?,12,1
How often are elections held?,7,1
How often does he make this argument?,9,1
When did Brewer talk?,6,0
How often are judges elected,6,1
How long did it take the Assakenians to get to the fortress?,16,0
How often does Emiliano Malaquez make sculptures?,11,1
How long did he act in the TV show?,11,0
How often does Frank's father drink?,10,1
What did he do after the rejection?,9,0
How often do people conceal who they truly are?,11,1
How long was Brewer talking?,7,0
How often are Banksy exhibitions held?,9,1
How long did they know the plane had been hijacked?,13,0
How often are planes hijacked?,8,1
What did Joe and his father do after riding in the field?,14,0
What happens after the nectar is produced?,9,0
How often are they able to eat?,9,1
How long did it take to do the laundry?,11,0
How many times a week does the average scientist read his theory?,14,1
How often are Banksy exhibitions held?,9,1
What happened after they robbed the train?,9,0
How long does it take for them to answer?,11,0
How often do Max and Joey run?,9,1
What did they do after picking small puppies?,10,0
How often are funds garnered from Congress?,9,1
What happened after the Algarve installed the bishop?,10,0
How often was an award named after the chief justice?,12,1
How often did he try to drum up interest?,11,1
How often does Mama put the jacket in the stopbox?,13,1
How long did it take him to grow his big paws?,13,0
How often do people need to take breaths?,10,1
When did she graduate college?,7,0
How often are funds garnered from Congress?,9,1
How long did they know the plane had been hijacked?,13,0
How often does the animal collect from a single flower,11,1
How often does he light fires?,8,1
What did Pushkin do after his graduation?,9,0
How often did Goode speak with Gorbachev?,9,1
How long has there been a rift between neighbors?,11,0
What happened before Islam was the majority religion?,10,0
How often was the room utilized?,8,1
How often did he try to drum up interest?,11,1
How often do people conceal who they truly are?,11,1
What day did the WHO discover this fact?,10,0
What will happen next?,6,0
What did Joe and his father do after riding in the field?,14,0
How often was the aid utilized?,8,1
How often did Goode speak with Gorbachev?,9,1
How often did Muhammad Iqbal make a proposal?,10,1
What did the Assakenians do next?,10,0
How many poems has Pushkin published in total?,10,1
What happened after the Soviet national shipping company found out they'd been excluded?,17,0
What did Pushkin do after his graduation?,9,0
How often did Algarve dispatch new bishops?,9,1
How often are the poor turned away for services?,11,1
When did Tumble eat the oatmeal?,8,0
How often are they able to eat?,9,1
How often does the committee meet?,8,1
How many times in a human's life the dermis regenerate itself?,16,1
How often does she order vegetables and flowers?,10,1
How often did he try to drum up interest?,11,1
What day of the week do migrant worker receive help?,12,0
How often did the board members meet?,9,1
How often are funds garnered from Congress?,9,1
How often is a greenmunk seen in a sheen of solid air?,15,1
How often do they break up?,8,1
How often does she order vegetables and flowers?,10,1
What time of day would Pushkin most likely speak?,11,0
How long was the greenmunk visible?,9,0
How often do the tenants have issues with other people?,12,1
When did they begin doing it?,8,0
How often does the emperor publicly speak?,9,1
When did the poor begin to lose services?,10,0
How often does she plant new seeds?,9,1
When did the poor begin to lose services?,10,0
How often are they able to eat?,9,1
How often do the group members meet?,9,1
How often do Max and Joey run?,9,1
How often are trips made to the Persian Gulf by the interagency of the NSC?,18,1
How often are new atoms created?,8,1
How often has Christianity been the major religion?,10,1
How often are funds garnered from Congress?,9,1
When did Wallace wake up for high school?,10,0
What happens after the mindwipe takes its creation?,11,0
How often was the aid utilized?,8,1
When did they begin doing it?,8,0
For how long do the wafers ride on tracks?,11,0
When did he do the laundry?,8,0
How long did it take Pushkin to graduate from Tsarskoye Selo Lyceum?,18,0
How many times a week does he do the laundry?,12,1
How often do they visit the dog pound?,10,1
How often does the bear rest?,8,1
What happened after the 9/11 plotters planned the attack?,16,0
What happened next?,5,0
How often did the Byzantine empire document new cultural groups?,12,1
What day did the WHO discover this fact?,10,0
How often does Brewer talk about the legal system marketplace?,12,1
How often does the emperor publicly speak?,9,1
How many times was the royal family in prison?,11,1
How often did he try to drum up interest?,11,1
How many times did Billy have to reach down to blow on the hot oatmeal?,17,1
How long did it take for the Spanish to reach Jamaica?,13,0
Afterwards did Einstein and Chaplin know each other?,10,0
What happened after the exhibition opened?,8,0
How often does Mzoudi travel to other cities?,12,1
How often did Goode speak with Gorbachev?,9,1
When did he first pursue financial interests in those countries?,12,0
How often does Bailey receive awards?,8,1
What happens post evolution,5,0
How long does the king prevent them from eating?,11,0
What did the people do next?,8,0
How long did it take to chose the operatives?,11,0
How often does the judge scold someone in court?,11,1
How often was the aid utilized?,8,1
"How long it take John to read the word ""breathe""?",13,0
How long was the storm?,7,0
What did Mark do right after he found out that he became a judge?,16,0
How long did it take for Mr Barco to accept military aid?,15,0
How often are the elections?,7,1
How long has there been a rift between neighbors?,11,0
How many times did Billy have to reach down to blow on the hot oatmeal?,17,1
How often is the spelling bee held?,9,1
How long did the Emperor rule Japan?,9,0
How often do they break up?,8,1
How often are Banksy exhibitions held?,9,1
How often does a typical ship face a major storm like this?,14,1
How often are Banksy exhibitions held?,9,1
How often do Max and Joey run?,9,1
How often are trips made to the Persian Gulf by the interagency of the NSC?,18,1
What happened after he tried getting money from those countries?,12,0
How often does Peter bark?,7,1
How often does Mzoudi travel to other cities?,12,1
What does Emiliano Malaquez do after he finishes a sculpture?,14,0
When does the music start playing in the film?,11,0
Can the dermis function after the hair follicles are dead or damaged?,15,0
How often does he lay on the chair?,10,1
How long did the hearing last?,8,0
How often does Mama put the jacket in the stopbox?,13,1
What did the animals do after they got at the plant's hidden nectar?,17,0
How often did he try to drum up interest?,11,1
When did Ace fall in love with Tobio?,11,0
How often are planes hijacked?,8,1
How many times a year did the Spanish visit Jamaica?,12,1
What happened after Mr. Barco accepted the military aid?,13,0
What happens after men are lured to their downfall?,11,0
