prompt,prompt_len,target
Why was the narrator first put off of the product?,12,Causality
Trump probably felt how about North Korea shutting down its Punggye-ri nuclear test site on Thursday?,22,Belief_states
Probably how long was Jeffrey Lewis' interview with Vice News?,13,Event_duration
What the narrator thinking about the meeting with William?,11,Belief_states
How old was Maria Isabella when she first saw Lorenzo?,12,Temporal_order
How long was Mia probably in the hospital?,10,Event_duration
When did trump decide to withdraw from the Iran nuclear agreement?,13,Temporal_order
Who nodded gently?,5,Character_identity
Where were the author and his father living?,10,Factual
What seems like a skyscraper?,7,Character_identity
"After the end of the article, Iran will probably",11,Subsequent_state
Why did the author have a bad experience after completing a spell?,14,Causality
When did they mute the movie?,8,Temporal_order
"After the end of this story, Trump is probably:",12,Subsequent_state
What happened to Cohen after the article?,9,Subsequent_state
After the story the writer probably,7,Subsequent_state
How long did it probably take Bryan and Alexandra to work on the Sacred Landscapes?,17,Event_duration
"After feeling the chill in his bones, Marlin felt:",12,Belief_states
"Assuming that the National guard troops were sent to the border, what is the likelihood that they were armed?",22,Entity_properties
When did Lady Gaga come into the spa where the author was relaxing?,15,Temporal_order
How long would it take for North Korea to obtain sanctions relief?,14,Event_duration
At the end of the story Trump is:,10,Subsequent_state
Why couldn't the author study for her finals?,12,Causality
Why was he disoriented and feeling strange,9,Causality
why is Jim Mattis hopeful?,8,Causality
"After the end of the story, the narrator is probably:",13,Subsequent_state
When does Trump have to approve the Democratic rebuttal memo?,12,Temporal_order
What does the author believe about the organic witch hazel gel shampoo?,14,Belief_states
What does the father believe about the narrator?,10,Belief_states
How long had they been watching the movie?,10,Event_duration
Why did the two countries need to reach an agreement?,12,Causality
"After the story ends, probably:",8,Subsequent_state
Carnie believes that,5,Belief_states
How long have the Nixes probbaly lived in North America?,14,Event_duration
Why did the Senate Democrats support proposed tariffsj,10,Causality
How much do those who are insecure about their work probably believe they should communicate their failures to others?,21,Belief_states
Kadin heard the woman's cry:,10,Temporal_order
"After the end of this story, Trump is probably:",12,Subsequent_state
How long did the leaders spend posing for pictures?,11,Event_duration
after the story ends does Pyongyang take more prisoners?,11,Subsequent_state
How have those workers in the UK felt with the recent proposed changes to the USS pension scheme?,20,Belief_states
What is probably true about the person who had a blackout?,13,Entity_properties
Why was Obama crying?,6,Causality
The author kicked in the door,7,Temporal_order
What talks about how competition offers consumers more choice and innovation including higher education?,16,Factual
How long will it take the writer to recover from the injuries received during this incident?,18,Event_duration
How long was the press conference that Sarah Sanders fielded questions in?,15,Event_duration
What is in Mia's pocket?,9,Factual
Why are Californians deciding whether to eliminate the death penalty?,13,Causality
How long did it take the writer to cash out?,12,Event_duration
"After the end of the story, the author is probably:",13,Subsequent_state
How long did the narrator take to notice that the deodorant was working?,15,Event_duration
Who doesn't want to be called a travel blogger?,13,Character_identity
How does Ray probably feel about the last minute addmisions from the hospital?,17,Subsequent_state
What issue did VOA contributor Greta Van Susteren address?,13,Character_identity
What is probably try about Phil Gilbert?,9,Entity_properties
How does the author feel about her eye doctor?,11,Belief_states
"After the end of the story, the author is probably:",13,Subsequent_state
It is probably true that,6,Entity_properties
What does President Trump most likely believe about the link between immigrants and  the US crime rate?,20,Belief_states
How long had Paul probably been involved with Chloe and her gang?,14,Event_duration
House Leadership probably thinks that:,7,Belief_states
How long has the writer been on the Mediterranean diet?,12,Event_duration
What policy did Department of Homeland Security chief Kirstjen Nielsen openly support that led protesters to harass her while she dined at a Mexican restaurant?,29,Factual
Why did Pompeo say that it's a great day?,13,Causality
Why did Trump wait so long to fire Tillerson?,12,Belief_states
Who shoveled the sidewalk?,7,Character_identity
The narrator believes that:,6,Belief_states
What will happen starting on Monday?,8,Factual
What does Trump believe about sending the National Guard to the border?,14,Belief_states
Why were missiles to be launched at Syria?,10,Causality
The writer probably feels that:,7,Belief_states
The man in the lab coat:,8,Entity_properties
Secretary of State Mike Pompeo probably thinks that:,10,Belief_states
"After the end of the story, Trump probably does what with immigration?",15,Subsequent_state
who was negotiating with North Korean leader?,9,Character_identity
About how often did this couple likely change apartments?,11,Event_duration
"After the tenants moved out, they probably felt",10,Subsequent_state
The narrator has probably been living in his neighborhood:,11,Event_duration
How long did it probably take the author to use the whole bottle of Deep Peace Aromatic Body Oil?,21,Event_duration
What does Dingo like to do?,9,Entity_properties
How long did Clinton's fundraising event likely take?,12,Event_duration
Why was the cat sick,6,Causality
