prompt,prompt_len,target
"Russian Snipers, Missiles and Warplanes Try to Tilt Libyan War.",16,2019
Link to Paris Attack Roils Debate Over Migrants in Hungary.,14,2015
"Taliban Elite, Aided by NATO, Join Talks for Afghan Peace.",16,2010
"For Prince Harry, No Special Treatment in Canada.",11,2020
Insurers Come Out Swinging Against New Republican Health Care Bill.,14,2017
"Jordan Tones Down Textbooks’ Islamic Content, and Tempers Rise.",15,2016
"Showing Confidence, Hillary Clinton Pushes Into Republican Strongholds.",14,2016
"To French, Nobel Prizes Show That Talk of Country’s Decline Is Premature.",18,2014
"Choua Yang, Hmong Refugee and Educator, Dies at 53.",17,2020
"Xinjiang Region of China Bans Glacier Tourism, Citing Risk to Ecosystem.",16,2016
Senate Unveils Budget Blueprint Allowing $1.5 Trillion in Tax Cuts.,17,2017
Alarm Spreads in Brazil Over a Virus and a Surge in Malformed Infants.,17,2015
Nepal Elects K.P. Sharma Oli as New Prime Minister.,15,2015
Trump Repeats Lie About Popular Vote in Meeting With Lawmakers.,14,2017
Spectators’ Deaths Highlight Risks of Popular Aerial Racing.,12,2011
"In Latin America, the Pandemic Threatens Equality Like Never Before.",14,2020
Chelsea Clinton May Be Willing to Lend a Hand if Her Mother Wins.,15,2016
Authorities in London Dismantle St. Paul’s Occupy Camp.,15,2012
Clinton Rebukes Israel on Housing Announcement.,10,2010
Threat to Arizona’s Salt River Horses Spurs New Battle Over Western Lands.,16,2015
Grab for Power in Crimea Raises Secession Threat.,11,2014
House Vote Sidesteps an Ultimatum on Debt.,12,2013
Foul-Mouthed and Proud of It on the ’16 Campaign Trail.,19,2015
Partying Until Drunk and Disorderly in Britain.,11,2013
Republicans Turn Judicial Power Into a Campaign Issue.,10,2011
Why Bernie Sanders Stood Out at the Iowa State Fair.,13,2019
U.S. Cracks Down on Counterfeits in a Warning Shot to China.,18,2020
Attack Adds to Signs of an Unstable Afghan Region.,12,2011
"As Hospitals Fill, Travel Nurses Race to Virus Hot Spots.",13,2020
"NATO Unveils Plans to Grow, Drawing Fury and Threats From Russia.",15,2015
Desperate Families in Delhi as Dengue Overwhelms Hospitals.,13,2015
ISIS Affiliate in Egypt Says It Has Beheaded Croatian Prisoner.,13,2015
Pope Francis to Find a Church in Upheaval.,12,2015
"Starting a Papacy, Amid Echoes of a ‘Dirty War’.",14,2013
Indonesia’s Crackdown on Gay Men Moves From Bars Into the Home.,16,2017
"Terrorists Strike Charlie Hebdo Newspaper in Paris, Leaving 12 Dead.",17,2015
"Republicans Look to Reince Priebus, Trump’s Chief of Staff, to Bring Stability.",20,2017
U.S. Ship Off Yemen Fires Missiles at Houthi Rebel Sites.,18,2016
ISIS Says It Carried Out Bombing That Killed 100 in Iraq.,17,2015
Justice Dept. Cites Race in Halting Law Over Voter ID.,15,2011
Trump Takes a Gamble in Cutting Programs His Base Relies On.,14,2017
"Bombing Plot in Oklahoma City Is Thwarted With Arrest, F.B.I. Says.",21,2017
Several States Forbid Abortion After 20 Weeks.,12,2011
"Enduring Drought, Farmers Draw the Line at Congress.",12,2012
"As U.S. Escalates Air War on ISIS, Allies Slip Away.",17,2015
"Senior Libyan Official Assassinated, First Since Qaddafi Era.",13,2014
"Funding Planned Parenthood, or Not, May Be Key to Keeping the Government Open.",17,2016
"150 Years Later, Wrestling With a Revised View of Sherman’s March .",18,2014
"Born Into Carnage, 18 Afghan Babies Face an Uncertain Fate.",16,2020
One More Relationship Tested by the Pandemic: Siblings.,11,2020
