prompt,prompt_len,target
How many times per week is the approach used?,11,Frequency
What time of the day was the proposal made?,11,Typical Time
When did Roosevelt receive the letter?,8,Typical Time
Can the dermis function after the hair follicles are dead or damaged?,15,Event Ordering
What time of the day does he start work?,11,Typical Time
How often do they break up?,8,Frequency
How often do the tenants have issues with other people?,12,Frequency
What time of day was it?,8,Typical Time
What does Emiliano Malaquez do after he finishes a sculpture?,14,Event Ordering
When were the grants introduced?,7,Typical Time
What happens after men are lured to their downfall?,11,Event Ordering
When did the poor begin to lose services?,10,Typical Time
How long does it take for migrant workers to move from Texas to Kentucky?,16,Event Duration
What did John do after opening the letter?,10,Event Ordering
How often was the aid utilized?,8,Frequency
How long was the chief justice in standing?,10,Event Duration
What happened after factory began production?,8,Event Ordering
How long does it take for the successor to officially take James A. Taylor's position?,20,Event Duration
At what time of day was Seki killed?,11,Typical Time
At what time do the wafers get placed on tracks?,12,Typical Time
What happens after a big Normal poster is requested?,11,Event Ordering
How long does it take for the successor to officially take James A. Taylor's position?,20,Event Duration
How many years did Atta live with his parents?,11,Event Duration
When did Ace fall in love with Tobio?,11,Typical Time
When did they begin studying the DNA?,9,Typical Time
How often does Peter bark?,7,Frequency
What did Atta do after being born?,9,Event Ordering
What did the attendees of the meeting do after it concluded?,13,Event Ordering
What happened after the approach was made by Landau and Lifshitz?,15,Event Ordering
When did they begin studying the DNA?,9,Typical Time
How long did the elections take?,8,Event Duration
What happened after the grants were issued to the temples?,12,Event Ordering
What did  they do after enjoying the sun?,11,Event Ordering
When does the music start playing in the film?,11,Typical Time
How often does Ahmadinejad rant on television?,11,Frequency
When did he begin to accept the military aid?,11,Typical Time
What happened next?,5,Event Ordering
How often does he visit the tomb?,9,Frequency
How often had the Iban had control of the Sarawak's coast?,16,Frequency
What did they do after picking small puppies?,10,Event Ordering
How often did the Byzantine empire document new cultural groups?,12,Frequency
What happened after the reveal of the greenmunk?,11,Event Ordering
How often does he perform in TV shows?,10,Frequency
How often are funds garnered from Congress?,9,Frequency
How long does the dermis take to heal after a minor injury to it?,17,Event Duration
"How often do Pompey, Julius Caesar, and Augustus visit the tomb?",15,Frequency
When did Ace fall in love with Tobio?,11,Typical Time
What time did the meeting occur?,8,Typical Time
How often did he try to drum up interest?,11,Frequency
How long does an eclipse last for?,9,Event Duration
What happens after they explain why older Oklahomans need lawyers?,14,Event Ordering
How long did the bidding last?,8,Event Duration
What happens after the wafers are put on tracks?,11,Event Ordering
How long does the robbery take?,8,Event Duration
What happened after the Spanish found Jamaica?,9,Event Ordering
How often does she order vegetables and flowers?,10,Frequency
How long has there been a rift between neighbors?,11,Event Duration
What time of day did the organization have a meeting?,12,Typical Time
What happened after the group members interacted?,9,Event Ordering
What did the artist do when he finished the painting?,12,Event Ordering
What did John do after opening the letter?,10,Event Ordering
What day did the Muslims take arms?,9,Typical Time
How long did it take to become standard?,10,Event Duration
What did Pushkin do after his graduation?,9,Event Ordering
How often are the poor turned away for services?,11,Frequency
What time did the jets attack Yonggary?,10,Typical Time
When do the properties of matter change?,9,Event Ordering
How long does it take to lure men to their downfall?,13,Event Duration
What did Mzoudi do after moving to Hamburg ?,12,Event Ordering
When did Brewer talk?,6,Typical Time
How long did it take to become standard?,10,Event Duration
How long did Peter want to bark for?,10,Event Duration
What happened after word spread of the royal family being imprisoned?,13,Event Ordering
What time did the exhibition open?,8,Typical Time
What happened after the WHO discovered this fact?,10,Event Ordering
What happened after Islam became popular in the region?,11,Event Ordering
