prompt,prompt_len,target
"asks what truth can be discerned from non-firsthand experience , and specifically questions cinema's capability for recording truth .",26,1
an uneven mix of dark satire and childhood awakening .,11,0
one sloughs one's way through the mire of this alleged psychological thriller in search of purpose or even a plot .,25,0
"about a boy vividly recalls the cary grant of room for one more , houseboat and father goose in its affectionate depiction of the gentle war between a reluctant , irresponsible man and the kid who latches onto him .",44,1
"what you get with empire is a movie you've seen many times before , repackaged as new material because there is a latino in the lead .",31,0
"a sour attempt at making a farrelly brothers-style , down-and-dirty laugher for the female set .",26,0
"the movie's ultimate point -- that everyone should be themselves -- is trite , but the screenwriter and director michel gondry restate it to the point of ridiculousness .",36,0
"you could say that it's slow at times , you could say that a few of the characters act in ways that real people wouldn't , but one thing you couldn't say is that alias betty is predictable .",47,1
"there are a few chuckles , but not a single gag sequence that really scores , and the stars seem to be in two different movies .",28,0
to portray modern women the way director davis has done is just unthinkable .,15,0
just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,25,1
what a great way to spend 4 units of your day .,14,1
"nijinsky says , 'i know how to suffer' and if you see this film you'll know too .",24,0
"the story is lacking any real emotional impact , and the plot is both contrived and cliched .",20,0
the film is like a series of beginnings and middles that never take off .,17,0
"like leon , it's frustrating and still oddly likable .",14,1
"it extends the writings of jean genet and john rechy , the films of fassbinder , perhaps even the nocturnal works of goya .",29,1
if only merchant paid more attention the story .,10,0
"the aaa of action , xxx is a blast of adrenalin , rated eee for excitement . and vin diesel is the man .",27,1
a macabre and very stylized swedish fillm about a modern city where all the religious and civic virtues that hold society in place are in tatters .,31,1
often hilarious .,4,1
"impostor doesn't do much with its template , despite a remarkably strong cast .",19,0
the picture doesn't know it's a comedy .,13,0
"despite its shortcomings , girls can't swim represents an engaging and intimate first feature by a talented director to watch , and it's a worthy entry in the french coming-of-age genre .",41,1
"think the lion king redone for horses , with fewer deliberate laughs , more inadvertent ones and stunningly trite songs by bryan adams , the world's most generic rock star .",39,0
"for the most part , it's a work of incendiary genius , steering clear of knee-jerk reactions and quick solutions .",27,1
"is anyone else out there getting tired of the whole slo-mo , double-pistoled , ballistic-pyrotechnic hong kong action aesthetic ?",31,0
a historical epic with the courage of its convictions about both scope and detail .,16,1
